"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;7296027;0.011;33.84;55.04;2.981;13.8;234.6;15.0;0.0;49.98;0.18;0;0;0.00003;-0.97363;
1111 1111 0000 0000;7321876;0.011;33.44;55.02;2.982;13.8;234.5;14.1;0.0;49.97;0.18;0;0;0.00003;-0.96484;
1111 1111 0000 0000;7353857;0.011;33.22;55.09;2.981;14.1;234.7;13.8;0.0;49.98;0.15;0;0;0.00003;-0.96057;
1111 1111 0000 0000;7355648;0.011;32.52;55.11;2.982;13.6;234.9;13.8;0.0;49.97;0.16;0;0;0.00003;-0.98334;
