"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;468575;0.009;33.26;54.71;2.959;10.8;235.4;60.6;0.0;50.01;0.27;0;0;0.00000;-0.95740;
1111 1111 0000 0000;470579;0.009;32.96;54.73;2.960;11.1;235.4;59.6;0.0;50.02;0.26;0;0;0.00000;-0.95935;
1111 1111 0000 0000;472691;0.009;32.96;54.77;2.959;11.0;235.7;59.1;0.0;50.01;0.26;0;0;0.00003;-0.95862;
1111 1111 0000 0000;474654;0.009;32.96;54.73;2.959;11.1;235.4;58.6;0.0;50.03;0.26;0;0;0.00000;-0.95740;
1111 1111 0000 0000;476658;0.009;32.65;54.74;2.959;11.0;235.3;57.7;0.0;50.00;0.25;0;0;0.00000;-0.95856;
1111 1111 0000 0000;479175;0.009;32.65;54.74;2.959;11.0;235.5;57.5;0.0;50.01;0.25;0;0;0.00000;-0.96100;
1111 1111 0000 0000;481173;0.009;32.81;54.74;2.960;11.0;235.4;57.3;0.0;50.01;0.25;0;0;0.00000;-0.95758;
1111 1111 0000 0000;483177;0.009;32.81;54.73;2.960;11.4;235.3;56.8;0.0;50.01;0.25;0;0;0.00000;-0.95490;
1111 1111 0000 0000;485694;0.009;32.65;54.72;2.959;11.0;235.4;56.5;0.0;50.01;0.25;0;0;0.00000;-0.95770;
1111 1111 0000 0000;487709;0.009;32.82;54.70;2.959;11.1;235.3;56.6;0.0;50.02;0.25;0;0;-0.00003;-0.95721;
1111 1111 0000 0000;489718;0.009;32.82;54.77;2.959;11.1;235.6;56.5;0.0;50.02;0.25;0;0;0.00000;-0.95679;"Walid is great";
1111 1111 0000 0000;491901;0.009;32.65;54.75;2.959;11.0;235.2;56.1;0.0;50.01;0.25;0;0;0.00000;-0.95734;
1111 1111 0000 0000;493904;0.009;32.82;54.73;2.959;11.1;235.4;56.2;0.0;50.01;0.25;0;0;-0.00003;-0.95776;
1111 1111 0000 0000;496466;0.009;32.82;54.78;2.959;11.1;235.5;56.0;0.0;50.03;0.25;0;0;0.00003;-0.95746;
1111 1111 0000 0000;498429;0.009;32.82;54.73;2.959;11.1;235.3;55.5;0.0;50.00;0.25;0;0;0.00003;-0.95587;
1111 1111 0000 0000;500438;0.009;32.65;54.75;2.959;11.1;235.4;55.6;0.0;50.01;0.24;0;0;0.00000;-0.95911;
1111 1111 0000 0000;502457;0.009;32.82;54.75;2.959;11.1;235.5;55.5;0.0;50.01;0.24;0;0;-0.00003;-0.95746;
1111 1111 0000 0000;504458;0.009;32.82;54.73;2.959;11.1;235.2;54.9;0.0;50.03;0.24;0;0;0.00000;-0.95569;
1111 1111 0000 0000;506468;0.009;32.65;54.69;2.959;11.0;235.2;54.9;0.0;49.99;0.24;0;0;0.00000;-0.95947;"Walid is great";
1111 1111 0000 0000;508477;0.009;32.81;54.66;2.960;11.1;235.2;54.6;0.0;50.00;0.24;0;0;0.00000;-0.95837;"Walid is great";
1111 1111 0000 0000;510489;0.009;32.81;54.67;2.960;11.1;235.1;54.2;0.0;49.99;0.24;0;0;0.00000;-0.95673;
1111 1111 0000 0000;512499;0.009;32.64;54.68;2.960;11.0;235.2;53.6;0.0;50.01;0.24;0;0;0.00000;-0.95966;
1111 1111 0000 0000;514584;0.009;32.82;54.66;2.959;11.0;235.1;53.5;0.0;50.01;0.24;0;0;-0.00003;-0.95734;
1111 1111 0000 0000;516584;0.009;32.82;54.68;2.959;11.1;235.2;53.2;0.0;50.01;0.23;0;0;-0.00006;-0.95679;"Walid is great";
1111 1111 0000 0000;518845;0.009;32.65;54.69;2.959;11.1;235.2;52.7;0.0;50.01;0.23;0;0;0.00000;-0.95764;
1111 1111 0000 0000;520880;0.009;32.81;54.71;2.960;11.7;235.2;52.8;0.0;50.01;0.23;0;0;0.00000;-0.95746;
1111 1111 0000 0000;522870;0.010;32.82;54.70;2.959;11.1;235.4;52.6;0.0;50.01;0.23;0;0;-0.00003;-0.95728;
1111 1111 0000 0000;524879;0.010;32.65;54.68;2.959;11.3;235.3;52.3;0.0;50.00;0.23;0;0;0.00003;-0.95721;
1111 1111 0000 0000;526889;0.010;32.82;54.68;2.959;11.1;235.3;52.4;0.0;50.01;0.23;0;0;0.00000;-0.95770;
1111 1111 0000 0000;528942;0.010;32.83;54.73;2.959;11.3;235.4;52.3;0.0;50.01;0.23;0;0;-0.00003;-0.95703;
1111 1111 0000 0000;531611;0.010;32.82;54.72;2.959;11.1;235.5;52.2;0.0;50.02;0.23;0;0;0.00003;-0.95697;
1111 1111 0000 0000;532960;0.010;32.82;54.74;2.959;11.1;235.4;52.1;0.0;50.03;0.23;0;0;0.00000;-0.95697;
1111 1111 0000 0000;535006;0.010;32.82;54.72;2.959;11.6;235.5;52.0;0.0;50.03;0.23;0;0;0.00003;-0.95764;
1111 1111 0000 0000;537337;0.010;32.82;54.75;2.959;11.0;235.4;51.5;0.0;50.03;0.23;0;0;0.00003;-0.95514;
1111 1111 0000 0000;539336;0.010;32.65;54.70;2.960;11.1;235.2;51.6;0.0;50.03;0.23;0;0;0.00003;-0.95972;
1111 1111 0000 0000;541339;0.010;32.82;54.68;2.959;11.3;235.3;51.4;0.0;50.03;0.23;0;0;0.00003;-0.95770;
1111 1111 0000 0000;543348;0.010;32.82;54.70;2.959;11.1;235.4;50.9;0.0;50.02;0.22;0;0;0.00003;-0.95569;
1111 1111 0000 0000;545358;0.010;32.65;54.70;2.959;11.3;235.4;50.9;0.0;50.01;0.22;0;0;0.00000;-0.95929;
1111 1111 0000 0000;547375;0.010;32.82;54.67;2.959;11.3;235.3;50.7;0.0;50.02;0.22;0;0;-0.00003;-0.95758;
1111 1111 0000 0000;549379;0.010;32.82;54.65;2.960;11.4;235.0;50.3;0.0;50.00;0.22;0;0;0.00000;-0.95551;
1111 1111 0000 0000;551389;0.010;32.65;54.70;2.959;11.3;235.3;50.5;0.0;50.00;0.22;0;0;0.00000;-0.95886;
1111 1111 0000 0000;553399;0.010;32.82;54.73;2.959;11.3;235.3;50.5;0.0;50.00;0.22;0;0;0.00003;-0.95734;
1111 1111 0000 0000;555409;0.010;32.82;54.66;2.959;11.3;235.2;50.2;0.0;50.00;0.22;0;0;0.00000;-0.95514;
1111 1111 0000 0000;557418;0.010;32.66;54.75;2.959;11.3;235.3;50.5;0.0;50.02;0.22;0;0;0.00000;-0.95813;
1111 1111 0000 0000;559431;0.010;32.82;54.70;2.959;11.4;235.3;50.5;0.0;50.01;0.22;0;0;0.00000;-0.95685;
1111 1111 0000 0000;561440;0.010;32.82;54.73;2.959;11.4;235.3;50.3;0.0;50.01;0.22;0;0;0.00000;-0.95563;
1111 1111 0000 0000;563450;0.010;32.65;54.73;2.959;11.3;235.3;50.7;0.0;50.01;0.22;0;0;-0.00003;-0.95813;
