"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
0111 1100 0000 0000;1596813;0.000;15.14;1.15;2.993;28.7;0.2;0.0;0.0;0.00;0.00;0;0;-0.00018;-0.96918;
0111 1100 0000 0000;1598825;0.000;15.13;1.14;2.994;28.6;0.2;0.0;0.0;0.00;0.00;0;0;-0.00018;-0.96930;
0111 1100 0000 0000;1600833;0.000;15.13;1.15;2.994;28.1;0.2;0.0;0.0;0.00;0.00;0;0;-0.00031;-0.96930;
0111 1100 0000 0000;1602844;0.000;15.13;1.15;2.993;28.6;0.2;0.0;0.0;0.00;0.00;0;0;-0.00018;-0.96924;
0111 1100 0000 0000;1605453;0.000;15.13;1.15;2.994;28.3;0.2;0.0;0.0;0.00;0.00;0;0;-0.00018;-0.96924;
0111 1100 0000 0000;1607434;0.000;15.13;1.15;2.994;29.0;0.2;0.0;0.0;0.00;0.00;0;0;-0.00018;-0.96924;
0111 1100 0000 0000;1609900;0.000;15.14;1.14;2.993;28.4;0.2;0.0;0.0;0.00;0.00;0;0;-0.00034;-0.96918;
0111 1100 0000 0000;1611914;0.000;15.13;1.14;2.993;28.7;0.2;0.0;0.0;0.00;0.00;0;0;-0.00031;-0.96924;
0111 1100 0000 0000;1613925;0.000;15.13;1.14;2.994;28.6;0.2;0.0;0.0;0.00;0.00;0;0;-0.00018;-0.96930;
0111 1100 0000 0000;1615962;0.000;15.13;1.15;2.994;28.6;0.2;0.0;0.0;0.00;0.00;0;0;-0.00018;-0.96924;
0111 1100 0000 0000;1617991;0.000;15.14;1.14;2.993;28.6;0.2;0.0;0.0;0.00;0.00;0;0;-0.00031;-0.96918;
0111 1100 0000 0000;1619956;0.000;15.13;1.14;2.994;28.7;0.2;0.0;0.0;0.00;0.00;0;0;-0.00018;-0.96930;
