"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;906181;0.004;39.04;54.57;3.000;11.7;234.4;135.4;0.0;49.99;0.71;0;0;0.00000;-0.97424;
1111 1111 0000 0000;908167;0.004;39.05;54.53;3.000;12.0;234.2;131.9;0.0;49.99;0.70;0;0;0.00000;-0.95288;
1111 1111 0000 0000;910447;0.004;39.05;54.51;3.000;11.9;234.5;135.5;0.0;50.00;0.73;0;0;0.00000;-0.96918;"Walid is great";
1111 1111 0000 0000;993697;0.006;40.98;54.47;2.997;12.4;234.5;45.4;0.0;50.02;0.32;0;0;0.00000;-0.89185;
1111 1111 0000 0000;996418;0.006;40.89;54.41;2.998;12.6;234.5;50.0;0.0;50.02;0.36;0;0;0.00003;-0.93182;
1111 1111 0000 0000;998469;0.006;40.86;54.48;2.997;12.4;234.5;47.6;0.0;50.02;0.34;0;0;0.00000;-0.89520;
1111 1111 0000 0000;1000446;0.006;41.05;54.46;2.997;12.7;234.8;40.9;0.0;50.03;0.37;0;0;0.00003;-0.95117;
1111 1111 0000 0000;1002453;0.006;41.33;54.44;2.996;12.7;234.9;12.4;0.0;50.03;0.25;0;0;0.00003;-0.97040;
1111 1111 0000 0000;1049241;0.006;41.30;54.50;2.996;13.2;235.0;49.2;0.0;50.01;0.26;0;0;0.00000;142.34619;
1111 1111 0000 0000;1051308;0.006;40.75;54.50;2.997;13.5;234.7;52.8;0.0;50.01;0.41;0;0;0.00000;-0.97516;
1111 1111 0000 0000;1053288;0.006;40.69;54.48;2.997;13.3;234.7;46.9;0.0;50.01;0.33;0;0;0.00000;-0.91925;
1111 1111 0000 0000;3804574;0.061;24.32;54.03;3.000;16.8;231.4;101.9;0.0;50.00;0.42;0;0;-0.00012;-0.96997;
1111 1111 0000 0000;3806551;0.061;24.32;54.05;2.999;17.0;231.5;101.3;0.0;50.01;0.42;0;0;-0.00015;-0.96722;
1111 1111 0000 0000;3808793;0.061;24.15;54.05;3.000;16.8;231.6;101.2;0.0;50.00;0.42;0;0;-0.00009;-0.97180;
1111 1111 0000 0000;3811678;0.061;24.32;54.05;3.000;16.8;231.5;103.1;0.0;50.00;0.42;0;0;-0.00009;-0.97223;
1111 1111 0000 0000;3814356;0.061;24.32;54.14;2.999;17.3;231.8;103.7;0.0;50.01;0.43;0;0;-0.00012;-0.97675;
1111 1111 0000 0000;3815686;0.061;24.45;54.08;3.000;17.1;231.7;103.5;0.0;50.00;0.44;0;0;-0.00012;-0.96857;
1111 1111 0000 0000;3826377;0.062;24.31;54.07;3.000;17.0;231.6;103.5;0.0;50.00;0.43;0;0;-0.00015;-0.97577;
1111 1111 0000 0000;3834647;0.062;24.44;54.03;3.001;17.0;231.5;105.9;0.0;50.01;0.44;0;0;-0.00009;-0.96881;
1111 1111 0000 0000;3844654;0.062;24.32;53.98;2.999;16.8;231.4;108.1;0.0;50.01;0.47;0;0;-0.00009;-0.97260;
1111 1111 0000 0000;3846564;0.062;24.46;54.06;2.999;16.8;231.4;108.5;0.0;50.00;0.46;0;0;-0.00009;-0.97046;
1111 1111 0000 0000;3866225;0.063;24.46;54.08;2.999;17.1;231.4;108.7;0.0;50.01;0.48;0;0;-0.00006;-0.96490;
1111 1111 0000 0000;3876759;0.063;24.46;54.09;3.000;17.0;231.7;112.1;0.0;50.00;0.50;0;0;-0.00015;-0.96899;
1111 1111 0000 0000;3885632;0.064;24.47;54.07;2.998;17.3;231.6;113.5;0.0;49.99;0.50;0;0;-0.00012;-0.96924;
1111 1111 0000 0000;3895205;0.064;24.32;54.07;2.999;17.3;231.7;115.7;0.0;50.00;0.52;0;0;-0.00006;-0.97766;
1111 1111 0000 0000;3897289;0.064;24.46;54.10;3.000;17.7;231.4;115.7;0.0;50.01;0.52;0;0;-0.00006;-0.97113;
1111 1111 0000 0000;3905535;0.064;24.46;54.13;2.999;17.3;231.8;116.9;0.0;49.99;0.54;0;0;-0.00009;-0.96478;
