"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1110 0100 0000;4935274;0.000;24.05;53.43;1.274;21.4;233.2;0.0;0.0;50.00;0.55;0;0;0.00000;0.00000;
1111 1110 0100 0000;4937275;0.000;15.30;53.42;1.275;21.5;233.0;0.0;0.0;49.99;0.49;0;0;-0.00006;0.00000;
1111 1110 0100 0000;4939275;0.000;15.58;53.42;1.275;21.5;232.9;0.0;0.0;49.99;0.52;0;0;-0.00006;0.00000;
1111 1110 0100 0000;4941275;0.000;19.98;53.45;1.274;21.4;233.1;3.5;0.0;49.99;0.43;0;0;-0.00003;0.00000;
1111 1110 0100 0000;4943276;0.000;19.75;53.45;1.274;21.5;233.2;3.5;0.0;49.99;0.45;0;0;-0.00003;0.00000;
1111 1110 0100 0000;4945286;0.000;21.37;53.40;1.274;21.4;233.2;0.0;0.0;49.99;0.49;0;0;0.00000;0.00000;
1111 1110 0100 0000;4947297;0.000;23.71;53.45;1.274;21.5;233.2;0.0;0.0;49.99;0.49;0;0;0.00003;0.00000;
1111 1110 0100 0000;4949297;0.000;16.46;53.44;1.275;21.4;233.2;0.0;0.0;49.99;0.51;0;0;-0.00006;0.00000;
1111 1110 0100 0000;4951487;0.000;24.63;53.44;1.274;21.4;233.3;3.5;0.0;50.00;0.52;0;0;-0.00006;0.00000;
1111 1110 0100 0000;4953497;0.000;16.32;53.41;1.274;21.5;233.2;0.0;0.0;49.99;0.50;0;0;0.00458;0.00000;
1111 1110 0100 0000;4955497;0.000;15.21;53.42;1.275;21.4;233.1;0.0;0.0;50.00;0.50;0;0;-0.00009;0.00000;
1111 1110 0100 0000;4957497;0.000;14.82;53.41;1.275;21.5;232.9;0.0;0.0;50.00;0.49;0;0;0.00003;0.00000;
1111 1110 0100 0000;4959497;0.000;19.30;53.45;1.274;21.5;233.2;3.5;0.0;50.00;0.52;0;0;-0.00006;0.00000;
1111 1110 0100 0000;4961497;0.000;23.41;53.43;1.274;21.5;233.1;0.0;0.0;50.01;0.49;0;0;-0.00003;0.00000;
1111 1110 0100 0000;4963497;0.000;21.16;53.45;1.274;21.4;233.1;0.0;0.0;50.01;0.56;0;0;-0.00003;0.00000;
1111 1110 0100 0000;4965497;0.000;19.83;53.42;1.274;21.4;233.1;3.5;0.0;50.01;0.52;0;0;0.00003;0.00000;
1111 1110 0100 0000;4967496;0.000;19.08;53.41;1.275;21.4;233.2;3.5;0.0;50.01;0.45;0;0;-0.00003;0.00000;
1111 1110 0100 0000;4969496;0.000;19.68;53.41;1.274;21.4;233.3;3.5;0.0;50.02;0.53;0;0;0.00000;0.00000;"Walid is great";
1111 1110 0100 0000;4971495;0.000;20.89;53.39;1.275;21.5;233.2;3.5;0.0;50.02;0.46;0;0;-0.00006;0.00000;
1111 1110 0100 0000;4973495;0.000;19.83;53.38;1.274;21.5;233.1;3.5;0.0;50.02;0.43;0;0;-0.00006;0.00000;
1111 1110 0100 0000;4975494;0.000;24.18;53.40;1.274;21.5;233.1;0.0;0.0;50.02;0.47;0;0;0.00000;0.00000;
1111 1110 0100 0000;4977493;0.000;20.75;53.39;1.274;21.5;233.0;0.0;0.0;50.02;0.50;0;0;-0.00003;0.00000;
1111 1110 0100 0000;4979492;0.000;20.74;53.43;1.274;21.5;233.2;3.5;0.0;50.02;0.50;0;0;-0.00006;0.00000;
1111 1110 0100 0000;4981492;0.000;20.69;53.42;1.274;21.4;233.0;0.0;0.0;50.03;0.42;0;0;-0.00006;0.00000;
1111 1110 0100 0000;4983491;0.000;18.11;53.41;1.274;21.4;233.1;0.0;0.0;50.02;0.47;0;0;-0.00003;0.00000;
1111 1110 0100 0000;4985490;0.000;20.18;53.39;1.274;21.4;232.9;0.0;0.0;50.02;0.50;0;0;-0.00003;0.00000;
1111 1110 0100 0000;4987499;0.000;24.09;53.41;1.274;21.5;233.2;3.5;0.0;50.02;0.47;0;0;-0.00006;0.00000;
1111 1110 0100 0000;4989498;0.000;24.12;53.40;1.274;21.4;233.1;3.5;0.0;50.02;0.47;0;0;0.00003;0.00000;
1111 1110 0100 0000;4991498;0.000;14.44;53.43;1.275;21.4;232.9;0.0;0.0;50.02;0.50;0;0;-0.00006;0.00000;
1111 1110 0100 0000;4993497;0.000;15.86;53.39;1.275;21.4;232.9;0.0;0.0;50.02;0.49;0;0;0.00003;0.00000;
1111 1110 0100 0000;4995496;0.000;24.06;53.38;1.274;21.5;233.1;3.5;0.0;50.02;0.51;0;0;0.00000;0.00000;
1111 1110 0100 0000;4997496;0.000;19.30;53.41;1.275;21.4;233.0;0.0;0.0;50.01;0.46;0;0;-0.00009;0.00000;
1111 1110 0100 0000;4999495;0.000;20.59;53.43;1.274;21.4;233.2;0.0;0.0;50.01;0.46;0;0;-0.00003;0.00000;"Walid is great";
1111 1110 0100 0000;5001495;0.000;14.51;53.44;1.275;21.4;233.1;0.0;0.0;50.01;0.51;0;0;-0.00009;0.00000;
1111 1110 0100 0000;5003494;0.000;20.03;53.43;1.274;21.4;233.2;0.0;0.0;50.00;0.47;0;0;0.00000;0.00000;
1111 1110 0100 0000;5005494;0.000;20.66;53.46;1.274;21.4;233.3;3.5;0.0;50.01;0.49;0;0;-0.00009;0.00000;
1111 1110 0100 0000;5007493;0.000;24.01;53.46;1.274;21.4;233.3;3.5;0.0;50.01;0.53;0;0;-0.00003;0.00000;
1111 1110 0100 0000;5009493;0.000;24.01;53.44;1.274;21.4;233.2;3.5;0.0;50.01;0.44;0;0;-0.00006;0.00000;
1111 1110 0100 0000;5011533;0.000;14.51;53.44;1.274;21.5;233.0;0.0;0.0;50.01;0.49;0;0;-0.00003;0.00000;
1111 1110 0100 0000;5013533;0.000;15.79;53.42;1.275;21.4;233.0;0.0;0.0;50.00;0.50;0;0;-0.00009;0.00000;
1111 1110 0100 0000;5015533;0.000;20.59;53.40;1.274;21.4;233.0;3.5;0.0;50.00;0.47;0;0;-0.00006;0.00000;
1111 1110 0100 0000;5017533;0.000;24.09;53.38;1.274;21.5;233.1;3.5;0.0;50.00;0.48;0;0;0.00000;0.00000;
1111 1110 0100 0000;5019533;0.000;15.78;53.42;1.275;21.4;233.1;0.0;0.0;50.00;0.52;0;0;-0.00009;0.00000;
1111 1110 0100 0000;5022683;0.000;19.15;53.40;1.275;21.4;233.0;3.5;0.0;50.01;0.50;0;0;0.00000;0.00000;
1111 1110 0100 0000;5023543;0.000;20.67;53.39;1.274;21.5;233.0;0.0;0.0;50.01;0.47;0;0;0.00000;0.00000;"Walid is great";
1111 1110 0100 0000;5025542;0.000;15.86;53.41;1.275;21.5;233.0;0.0;0.0;50.00;0.50;0;0;-0.00003;0.00000;
1111 1110 0100 0000;5027542;0.000;24.21;53.42;1.274;21.5;233.3;0.0;0.0;50.00;0.49;0;0;0.00000;0.00000;
1111 1110 0100 0000;5029542;0.000;20.29;53.44;1.274;21.4;233.0;0.0;0.0;50.00;0.49;0;0;-0.00003;0.00000;
1111 1110 0100 0000;5031542;0.000;20.75;53.44;1.274;21.2;233.2;3.5;0.0;50.00;0.45;0;0;0.00000;0.00000;
1111 1110 0100 0000;5033542;0.000;24.20;53.44;1.274;22.0;233.3;0.0;0.0;50.01;0.52;0;0;0.00003;0.00000;
1111 1110 0100 0000;5035542;0.000;20.96;53.43;1.274;21.5;233.2;0.0;0.0;50.00;0.46;0;0;-0.00006;0.00000;
1111 1110 0100 0000;5037541;0.000;16.01;53.50;1.274;21.5;233.3;0.0;0.0;50.00;0.47;0;0;-0.00003;0.00000;
1111 1110 0100 0000;5039541;0.000;16.01;53.50;1.275;21.5;233.4;0.0;0.0;50.01;0.46;0;0;-0.00006;0.00000;
1111 1110 0100 0000;5041541;0.000;20.81;53.48;1.275;21.4;233.4;3.5;0.0;50.00;0.49;0;0;-0.00003;0.00000;
1111 1110 0100 0000;5043541;0.000;24.27;53.47;1.274;21.7;233.6;0.0;0.0;50.00;0.46;0;0;0.00000;0.00000;
1111 1110 0100 0000;5045541;0.000;24.26;53.50;1.274;21.4;233.5;0.0;0.0;50.00;0.49;0;0;-0.00003;0.00000;
1111 1110 0100 0000;5047541;0.000;24.29;53.51;1.274;21.5;233.6;0.0;0.0;50.00;0.47;0;0;-0.00009;0.00000;
1111 1110 0100 0000;5049541;0.000;16.02;53.47;1.275;21.4;233.3;0.0;0.0;50.00;0.46;0;0;0.00000;0.00000;
1111 1110 0100 0000;5052551;0.000;24.29;53.50;1.274;21.4;233.6;3.5;0.0;50.00;0.50;0;0;-0.00006;0.00000;
1111 1110 0100 0000;5053611;0.000;20.99;53.51;1.275;21.4;233.5;0.0;0.0;50.00;0.49;0;0;-0.00006;0.00000;
1111 1110 0100 0000;5055611;0.000;20.74;53.51;1.274;21.5;233.4;0.0;0.0;49.99;0.52;0;0;-0.00006;0.00000;"Walid is great";
1111 1110 0100 0000;5058531;0.000;15.93;53.52;1.274;21.5;233.5;0.0;0.0;50.00;0.47;0;0;-0.00006;0.00000;
1111 1110 0100 0000;5060631;0.000;20.74;53.51;1.275;21.4;233.6;0.0;0.0;50.00;0.45;0;0;-0.00009;0.00000;
1111 1110 0100 0000;5062631;0.000;15.93;53.50;1.275;21.4;233.4;0.0;0.0;50.01;0.47;0;0;-0.00006;0.00000;
1111 1110 0100 0000;5064630;0.000;24.16;53.51;1.274;21.4;233.7;3.5;0.0;50.01;0.49;0;0;0.00000;0.00000;
1111 1110 0100 0000;5066630;0.000;20.66;53.48;1.275;21.4;233.5;0.0;0.0;50.01;0.44;0;0;-0.00003;0.00000;
1111 1110 0100 0000;5068630;0.000;15.86;53.49;1.275;21.4;233.4;0.0;0.0;50.01;0.47;0;0;-0.00006;0.00000;
1111 1110 0100 0000;5070629;0.000;14.29;53.48;1.275;21.4;233.3;0.0;0.0;50.00;0.49;0;0;-0.00009;0.00000;
1111 1110 0100 0000;5072629;0.000;14.14;53.50;1.275;21.5;233.3;0.0;0.0;50.00;0.50;0;0;-0.00009;0.00000;"Walid is great";
1111 1110 0100 0000;5074629;0.000;15.78;53.53;1.275;21.4;233.5;0.0;0.0;50.00;0.49;0;0;-0.00006;0.00000;"Walid is great";
1111 1110 0100 0000;5076629;0.000;15.79;53.51;1.274;21.5;233.5;0.0;0.0;50.00;0.48;0;0;-0.00006;0.00000;
1111 1110 0100 0000;5078629;0.000;14.67;53.53;1.275;21.4;233.3;0.0;0.0;50.00;0.49;0;0;-0.00009;0.00000;
1111 1110 0100 0000;5080629;0.000;14.14;53.49;1.275;21.5;233.3;0.0;0.0;50.00;0.51;0;0;-0.00009;0.00000;
1111 1110 0100 0000;5092628;0.000;23.76;53.48;1.274;21.5;233.5;3.5;0.0;50.00;0.46;0;0;-0.00009;0.00000;"Walid is great";
1111 1110 0100 0000;5094629;0.000;15.49;53.45;1.274;21.8;233.2;0.0;0.0;49.99;0.51;0;0;-0.00009;0.00000;
1111 1110 0100 0000;5096629;0.000;23.68;53.45;1.274;21.4;233.4;3.5;0.0;49.99;0.50;0;0;0.00003;0.00000;
1111 1110 0100 0000;5098629;0.000;20.21;53.47;1.275;21.5;233.3;0.0;0.0;49.99;0.48;0;0;-0.00006;0.00000;
1111 1110 0100 0000;5100630;0.000;23.63;53.46;1.274;21.5;233.4;3.5;0.0;49.99;0.50;0;0;-0.00006;0.00000;
1111 1110 0100 0000;5103049;0.000;15.34;53.47;1.275;21.5;233.2;0.0;0.0;50.00;0.50;0;0;-0.00003;0.00000;
1111 1110 0100 0000;5105989;0.000;23.54;53.49;1.274;21.7;233.6;3.5;0.0;50.01;0.48;0;0;-0.00009;0.00000;
1111 1110 0100 0000;5107748;0.000;19.55;53.48;1.274;21.4;233.3;0.0;0.0;50.02;0.48;0;0;-0.00006;0.00000;
1111 1110 0100 0000;5109748;0.000;15.34;53.47;1.275;21.5;233.3;0.0;0.0;50.02;0.48;0;0;-0.00003;0.00000;
1111 1110 0100 0000;5111747;0.000;15.26;53.49;1.275;21.4;233.2;0.0;0.0;50.02;0.49;0;0;-0.00006;0.00000;
1111 1110 0100 0000;5113756;0.000;20.06;53.49;1.274;21.4;233.4;0.0;0.0;50.02;0.50;0;0;0.00000;0.00000;
1111 1110 0100 0000;5115756;0.000;19.99;53.45;1.275;21.5;233.4;3.5;0.0;50.02;0.46;0;0;-0.00003;0.00000;
1111 1110 0100 0000;5117765;0.000;23.42;53.48;1.274;21.4;233.5;3.5;0.0;50.02;0.37;0;0;-0.00006;0.00000;
1111 1110 0100 0000;5119774;0.000;15.18;53.49;1.275;21.5;233.3;0.0;0.0;50.01;0.42;0;0;0.00000;0.00000;
1111 1110 0100 0000;5121774;0.000;19.98;53.50;1.274;21.4;233.5;3.5;0.0;50.01;0.46;0;0;0.00003;0.00000;
1111 1110 0100 0000;5123773;0.000;23.37;53.50;1.274;21.4;233.5;0.0;0.0;50.01;0.47;0;0;0.00000;0.00000;
1111 1110 0100 0000;5125773;0.000;23.36;53.51;1.274;21.2;233.6;0.0;0.0;50.01;0.49;0;0;-0.00009;0.00000;
1111 1110 0100 0000;5127773;0.000;15.11;53.49;1.275;21.5;233.4;0.0;0.0;50.00;0.51;0;0;-0.00003;0.00000;
1111 1110 0100 0000;5129783;0.000;15.12;53.49;1.275;21.1;233.3;0.0;0.0;50.00;0.46;0;0;-0.00009;0.00000;
1111 1110 0100 0000;5131782;0.000;19.95;53.49;1.274;21.5;233.4;0.0;0.0;50.01;0.50;0;0;-0.00009;0.00000;
1111 1110 0100 0000;5133782;0.000;23.35;53.51;1.274;21.4;233.6;3.5;0.0;50.01;0.44;0;0;-0.00003;0.00000;
1111 1110 0100 0000;5135782;0.000;23.36;53.49;1.274;21.5;233.6;3.5;0.0;50.01;0.51;0;0;-0.00003;0.00000;
1111 1110 0100 0000;5137781;0.000;23.33;53.52;1.274;21.8;233.6;3.5;0.0;50.00;0.41;0;0;-0.00009;0.00000;
1111 1110 0100 0000;5139781;0.000;22.71;53.50;1.274;21.5;233.5;3.5;0.0;50.01;0.41;0;0;0.00003;0.00000;
1111 1110 0100 0000;5141781;0.000;15.11;53.50;1.275;21.4;233.5;0.0;0.0;50.01;0.47;0;0;0.00003;0.00000;
1111 1110 0100 0000;5148680;0.000;19.96;53.53;1.274;21.4;233.5;0.0;0.0;50.00;0.45;0;0;-0.00003;0.00000;
1111 1110 0100 0000;5150680;0.000;23.33;53.50;1.274;21.4;233.5;3.5;0.0;50.00;0.44;0;0;0.00000;0.00000;
1111 1110 0100 0000;5153691;0.000;19.91;53.48;1.274;21.5;233.5;3.5;0.0;49.99;0.46;0;0;0.00000;0.00000;
1111 1110 0100 0000;5154811;0.000;15.04;53.46;1.275;21.8;233.3;0.0;0.0;49.98;0.51;0;0;0.00000;0.00000;"Walid is great";
1111 1110 0100 0000;5156812;0.000;23.30;53.50;1.274;21.4;233.4;0.0;0.0;49.99;0.47;0;0;-0.00006;0.00000;
1111 1110 0100 0000;5159813;0.000;19.98;53.47;1.274;21.5;233.3;3.5;0.0;49.98;0.46;0;0;-0.00003;0.00000;
1111 1110 0100 0000;5160923;0.000;22.65;53.46;1.274;21.4;233.3;0.0;0.0;49.98;0.51;0;0;0.00000;0.00000;
1111 1110 0100 0000;5163034;0.000;23.27;53.47;1.274;21.5;233.4;0.0;0.0;49.98;0.41;0;0;-0.00006;0.00000;"Walid is great";
1111 1110 0100 0000;5166085;0.000;15.04;53.45;1.275;21.4;233.0;0.0;0.0;49.98;0.48;0;0;-0.00009;0.00000;"Walid is great";
