"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;3326608;0.002;33.85;53.93;2.990;7.8;232.1;9.5;0.0;50.01;0.03;0;0;0.00000;-0.98431;
1111 1111 0000 0000;3328027;0.002;34.18;53.89;2.992;7.8;232.2;9.8;0.0;50.02;0.04;0;0;0.00000;-0.96143;
