"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;4778943;0.007;35.76;54.79;2.984;5.7;235.9;13.3;0.0;50.01;0.06;0;0;0.00000;-0.97034;
1111 1111 0000 0000;4780333;0.007;36.08;54.76;2.983;5.9;235.7;13.3;0.0;50.01;0.06;0;0;0.00000;-0.98602;
1111 1111 0000 0000;4782342;0.007;35.47;54.77;2.984;3.1;235.8;13.3;0.0;50.02;0.05;0;0;0.00003;-0.98132;
1111 1111 0000 0000;8407731;0.032;36.47;54.81;2.984;10.7;236.0;26.5;0.0;50.01;0.12;0;0;0.00000;-0.95441;
1111 1111 0000 0000;8410122;0.032;36.47;54.81;2.984;10.8;235.9;27.7;0.0;50.01;0.13;0;0;0.00000;-0.95569;
1111 1111 0000 0000;8411902;0.032;36.48;54.81;2.984;11.0;236.2;27.1;0.0;50.02;0.12;0;0;0.00000;-0.90918;
1111 1111 0000 0000;27822126;0.843;35.43;54.36;2.985;28.3;233.2;81.0;0.0;49.97;0.22;0;0;0.00000;-0.95648;
1111 1111 0000 0000;27824115;0.843;35.42;54.35;2.985;28.0;233.4;81.0;0.0;49.96;0.23;0;0;0.00000;-0.96625;
1111 1111 0000 0000;27826784;0.843;35.43;54.31;2.985;27.8;233.2;80.8;0.0;49.96;0.21;0;0;0.00000;-0.96692;
1111 1111 0000 0000;27829554;0.843;35.43;54.36;2.985;27.8;233.3;80.7;0.0;49.95;0.23;0;0;0.00000;-0.96710;
1111 1111 0000 0000;27830800;0.843;35.43;54.39;2.985;27.7;233.2;80.7;0.0;49.96;0.23;0;0;0.00000;-0.96753;
