"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;1354883;0.012;41.29;54.69;2.999;13.5;235.0;25.5;0.0;50.02;0.16;0;0;0.00000;-0.95361;
1111 1111 0000 0000;1357352;0.012;41.24;54.69;2.999;13.3;235.0;34.7;0.0;50.02;0.17;0;0;0.00003;-0.93304;
1111 1111 0000 0000;1359351;0.012;41.25;54.69;2.998;13.2;235.0;31.8;0.0;50.01;0.15;0;0;0.00003;-0.89142;"Walid is great";
1111 1111 0000 0000;1361361;0.012;41.29;54.69;2.999;13.3;234.9;54.9;0.0;50.01;0.13;0;0;0.00003;-0.88367;
1111 1111 0000 0000;1364177;0.012;41.27;54.79;2.997;13.3;235.1;27.6;0.0;50.01;0.16;0;0;0.00000;-0.90497;
1111 1111 0000 0000;1366082;0.012;41.31;54.73;2.998;13.3;235.1;35.4;0.0;50.00;0.13;0;0;0.00000;-0.88354;
1111 1111 0000 0000;1368092;0.012;41.24;54.77;3.000;13.8;235.4;53.7;0.0;50.01;0.21;0;0;0.00000;143.30750;
1111 1111 0000 0000;1371044;0.012;41.25;54.73;2.998;13.5;235.1;25.4;0.0;50.01;0.14;0;0;0.00000;-0.88727;
1111 1111 0000 0000;1372352;0.012;41.09;54.73;2.998;13.3;235.1;45.0;0.0;50.00;0.21;0;0;0.00000;-0.91913;
1111 1111 0000 0000;1374362;0.012;41.10;54.71;2.998;13.3;235.0;44.4;0.0;50.00;0.20;0;0;0.00003;-0.89343;
1111 1111 0000 0000;1377002;0.012;41.11;54.74;2.998;14.4;235.1;48.5;0.0;49.99;0.20;0;0;0.00000;-0.90814;
1111 1111 0000 0000;1378982;0.012;41.16;54.76;2.998;13.3;235.2;43.5;0.0;50.01;0.18;0;0;0.00003;-0.89124;
