"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;4807985;0.003;32.94;54.30;2.997;6.4;234.0;8.4;0.0;50.00;0.05;0;0;0.00000;-0.99609;
1111 1111 0000 0000;4809994;0.003;32.95;54.33;2.996;6.4;234.3;8.4;0.0;50.01;0.06;0;0;0.00003;-0.97760;
1111 1111 0000 0000;4812515;0.003;33.44;54.30;2.997;6.6;234.1;8.4;0.0;50.02;0.07;0;0;-0.00003;-0.99139;
1111 1111 0000 0000;4814499;0.003;32.94;54.30;2.997;6.6;234.1;8.4;0.0;50.03;0.06;0;0;0.00000;-0.96967;
1111 1111 0000 0000;4817031;0.003;33.25;54.28;2.997;6.4;234.0;8.4;0.0;50.01;0.06;0;0;0.00000;-0.99017;
1111 1111 0000 0000;4819780;0.003;33.43;54.30;2.998;6.4;233.9;8.7;0.0;50.02;0.06;0;0;-0.00003;-0.98645;
1111 1111 0000 0000;4821759;0.003;33.53;54.27;2.998;6.6;234.1;8.4;0.0;50.02;0.06;0;0;0.00000;-0.96387;
1111 1111 0000 0000;4823763;0.003;33.15;54.28;2.997;6.6;233.9;8.4;0.0;50.01;0.07;0;0;0.00000;-0.98596;
1111 1111 0000 0000;4826113;0.003;33.54;54.30;2.997;6.6;234.0;8.4;0.0;50.00;0.06;0;0;0.00003;149.98169;
1111 1111 0000 0000;4828475;0.003;33.54;54.25;2.997;6.6;233.9;8.4;0.0;50.01;0.05;0;0;-0.00003;-0.97937;
1111 1111 0000 0000;4830459;0.003;32.94;54.33;2.998;6.7;234.3;8.4;0.0;50.01;0.06;0;0;0.00000;-0.97974;
1111 1111 0000 0000;5038586;0.003;32.94;54.39;2.997;6.7;234.5;8.4;0.0;49.99;0.05;0;0;0.00003;-0.97168;
1111 1111 0000 0000;5245482;0.004;33.25;54.30;2.997;6.7;234.0;7.8;0.0;50.01;0.05;0;0;-0.00003;-0.97186;
1111 1111 0000 0000;5247517;0.004;33.25;54.30;2.998;6.9;234.2;7.8;0.0;50.02;0.06;0;0;-0.00003;-0.97357;
1111 1111 0000 0000;5249486;0.004;32.55;54.29;2.997;6.9;234.0;7.8;0.0;50.01;0.05;0;0;-0.00009;-0.97925;
1111 1111 0000 0000;5252403;0.004;32.94;54.30;2.997;6.1;234.1;7.5;0.0;50.01;0.05;0;0;0.00000;-0.97888;
1111 1111 0000 0000;5254387;0.004;32.24;54.30;2.997;6.9;233.8;7.5;0.0;50.01;0.05;0;0;-0.00006;-0.98645;
1111 1111 0000 0000;5256392;0.004;32.34;54.33;2.997;6.9;234.1;7.8;0.0;50.00;0.06;0;0;0.00000;-0.98560;
1111 1111 0000 0000;5258664;0.004;32.93;54.32;2.997;6.7;234.1;7.5;0.0;50.01;0.05;0;0;-0.00003;-0.97345;
1111 1111 0000 0000;5260646;0.004;32.24;54.29;2.997;6.7;234.0;7.8;0.0;50.00;0.05;0;0;0.00003;-0.98517;
1111 1111 0000 0000;5262651;0.004;32.94;54.29;2.998;6.7;234.0;7.5;0.0;50.00;0.05;0;0;0.00000;-0.98041;
1111 1111 0000 0000;5265629;0.004;33.24;54.32;2.997;6.7;233.9;7.8;0.0;50.02;0.05;0;0;-0.00003;-0.96967;
1111 1111 0000 0000;5267541;0.004;32.65;54.30;2.997;6.7;234.0;7.5;0.0;50.00;0.05;0;0;0.00000;149.91760;
1111 1111 0000 0000;5269553;0.004;33.15;54.32;2.997;6.9;233.8;7.8;0.0;50.00;0.04;0;0;0.00003;-0.99310;
1111 1111 0000 0000;5272253;0.004;32.65;54.29;2.997;6.7;234.1;7.5;0.0;50.01;0.06;0;0;-0.00003;-0.98676;
1111 1111 0000 0000;5274238;0.004;33.15;54.32;2.997;6.7;234.0;7.8;0.0;50.01;0.05;0;0;-0.00003;-0.97943;
1111 1111 0000 0000;5276580;0.004;32.55;54.31;2.997;6.7;234.0;7.8;0.0;50.00;0.05;0;0;-0.00003;-0.98071;
1111 1111 0000 0000;5278653;0.004;32.95;54.27;2.997;6.9;233.8;7.5;0.0;50.00;0.05;0;0;0.00000;-0.98517;
1111 1111 0000 0000;5280638;0.004;33.25;54.27;2.997;6.7;233.9;7.8;0.0;49.99;0.06;0;0;0.00000;148.56262;
1111 1111 0000 0000;5282643;0.004;33.25;54.30;2.997;6.3;234.0;7.5;0.0;50.00;0.05;0;0;0.00000;-0.96252;"Walid is great";
1111 1111 0000 0000;5284913;0.004;32.84;54.30;2.997;6.7;233.9;7.5;0.0;49.99;0.06;0;0;-0.00003;-0.99512;
1111 1111 0000 0000;5286899;0.004;32.93;54.30;2.997;6.7;233.9;7.8;0.0;49.98;0.06;0;0;0.00000;-0.97949;
1111 1111 0000 0000;5288903;0.004;32.95;54.29;2.996;6.9;234.2;7.8;0.0;49.99;0.06;0;0;0.00000;-0.99756;
1111 1111 0000 0000;5291179;0.004;32.94;54.33;2.997;6.6;234.1;7.5;0.0;50.00;0.06;0;0;-0.00003;-0.97083;
1111 1111 0000 0000;5293729;0.004;33.54;54.29;2.997;6.7;234.1;7.8;0.0;50.01;0.05;0;0;-0.00003;-0.98969;
1111 1111 0000 0000;5295748;0.004;32.93;54.30;2.997;6.7;234.2;7.8;0.0;50.01;0.05;0;0;0.00000;-0.98425;
1111 1111 0000 0000;5297795;0.004;32.94;54.32;2.997;6.7;234.0;7.8;0.0;50.00;0.05;0;0;-0.00003;147.94922;
