"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1110 0000 0000;234994;0.000;11.58;55.22;3.001;-3.1;232.8;0.0;0.0;50.02;0.00;0;0;-0.00003;79.23889;
1111 1110 0000 0000;657588;0.000;17.30;55.30;3.001;-3.5;233.7;0.0;0.0;49.99;0.01;0;0;-0.00006;-0.96857;
1111 1110 0000 0000;659598;0.000;17.15;55.30;3.001;-3.7;233.7;0.0;0.0;49.99;0.00;0;0;-0.00006;148.75488;
1111 1110 0000 0000;661608;0.000;16.92;55.30;3.000;-3.4;233.5;0.0;0.0;49.99;0.00;0;0;-0.00009;141.96167;
1111 1111 0000 0000;664324;0.000;16.92;55.27;3.001;-3.4;233.3;1.2;0.0;49.99;0.00;0;0;-0.00009;140.64331;
1111 1111 0000 0000;666074;0.000;17.30;55.28;3.001;-3.4;233.4;0.0;0.0;49.98;0.00;0;0;-0.00006;-0.99969;"Walid is great";
1111 1111 0000 0000;668085;0.000;17.10;55.27;3.001;-3.7;233.3;0.0;0.0;49.99;0.00;0;0;-0.00006;143.59131;"Walid is great";
1111 1111 0000 0000;19999536;0.134;33.66;55.21;3.000;5.9;234.0;4.7;0.0;49.97;0.02;0;0;-0.00003;-0.99506;
1111 1111 0000 0000;20002183;0.134;33.42;55.28;3.000;5.7;233.9;4.7;0.0;49.97;0.02;0;0;0.00000;-0.97992;
1111 1111 0000 0000;20003556;0.134;33.21;55.17;3.000;5.7;233.8;4.7;0.0;49.96;0.01;0;0;-0.00003;-0.98383;
1111 1111 0000 0000;20005568;0.134;33.20;55.21;3.000;5.7;234.0;5.3;0.0;49.98;0.02;0;0;-0.00003;-0.96930;
1111 1111 0000 0000;20008159;0.134;33.42;55.43;3.000;5.4;233.9;4.7;0.0;49.96;0.02;0;0;0.00003;-0.99255;
1111 1111 0000 0000;20010126;0.134;33.43;55.26;2.999;5.7;233.9;4.1;0.0;49.99;0.02;0;0;-0.00003;149.04785;
1111 1111 0000 0000;20012138;0.134;33.42;55.31;3.000;5.7;233.8;4.7;0.0;49.96;0.02;0;0;0.00003;148.59009;
1111 1111 0000 0000;20014346;0.134;33.32;55.10;3.000;5.9;233.7;4.7;0.0;49.98;0.03;0;0;0.00000;-0.99640;
1111 1111 0000 0000;20016297;0.134;32.99;55.34;3.000;5.7;233.7;4.7;0.0;49.97;0.02;0;0;0.00000;-0.99988;
1111 1111 0000 0000;20018346;0.134;32.98;55.37;3.000;5.7;233.7;4.7;0.0;49.97;0.02;0;0;-0.00003;-0.98505;
1111 1111 0000 0000;20022008;0.134;33.20;55.21;2.999;5.6;233.9;4.7;0.0;49.96;0.01;0;0;-0.00003;-0.98456;
1111 1111 0000 0000;20023997;0.134;33.20;55.21;3.000;5.7;233.9;4.7;0.0;49.97;0.02;0;0;-0.00003;-0.99841;"Walid is great";
1111 1111 0000 0000;20026008;0.134;33.20;55.30;3.000;5.7;233.8;4.7;0.0;49.97;0.02;0;0;-0.00006;147.72949;
1111 1111 0000 0000;20028027;0.134;33.11;55.22;3.000;5.7;233.7;4.1;0.0;49.97;0.02;0;0;-0.00003;-0.98676;
1111 1111 0000 0000;20030049;0.134;33.11;55.16;3.000;5.9;233.6;4.7;0.0;49.98;0.02;0;0;-0.00003;-0.99512;
1111 1111 0000 0000;20032057;0.134;33.20;55.16;3.000;5.7;233.8;4.7;0.0;49.97;0.02;0;0;-0.00003;-0.97034;
1111 1111 0000 0000;20034136;0.134;33.11;55.17;3.000;5.9;233.7;4.7;0.0;49.96;0.02;0;0;0.00000;-0.99567;
1111 1111 0000 0000;20036137;0.134;33.20;55.27;3.000;5.7;234.0;4.7;0.0;49.97;0.02;0;0;-0.00003;-0.98535;
1111 1111 0000 0000;20038146;0.134;33.20;55.32;3.000;5.4;233.9;4.7;0.0;49.96;0.02;0;0;-0.00003;149.64294;
1111 1111 0000 0000;20040218;0.134;33.20;55.24;3.000;5.6;233.8;4.7;0.0;49.96;0.02;0;0;-0.00003;-0.99963;
1111 1111 0000 0000;20044239;0.134;33.20;55.27;3.000;5.7;233.9;4.7;0.0;49.96;0.02;0;0;-0.00003;-0.98346;
1111 1111 0000 0000;20046297;0.134;33.20;55.30;3.000;5.6;233.9;4.7;0.0;49.97;0.02;0;0;-0.00006;-0.98633;
1111 1111 0000 0000;20048936;0.134;32.89;55.28;3.000;5.7;233.8;4.7;0.0;49.95;0.02;0;0;0.00000;-0.99310;
1111 1111 0000 0000;20050928;0.134;32.99;55.24;3.000;6.0;233.9;4.1;0.0;49.97;0.02;0;0;-0.00003;148.92883;
1111 1111 0000 0000;20054998;0.134;32.99;55.41;3.000;5.6;234.0;4.1;0.0;49.96;0.02;0;0;0.00000;-0.97943;
