"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;7349133;0.013;32.81;54.58;3.004;14.6;234.6;14.8;0.0;49.98;0.04;0;0;0.00003;-0.96466;
1111 1111 0000 0000;7359800;0.013;33.03;54.61;3.004;14.6;234.6;15.1;0.0;49.98;0.05;0;0;0.00000;-0.98608;
1111 1111 0000 0000;7361511;0.013;33.31;54.60;3.004;14.5;234.4;15.1;0.0;49.97;0.05;0;0;-0.00006;-0.98206;
1111 1111 0000 0000;7364595;0.013;32.53;54.60;3.004;14.8;234.7;15.4;0.0;49.98;0.04;0;0;0.00003;-0.98651;
1111 1111 0000 0000;7373962;0.013;32.72;54.60;3.003;14.5;234.4;15.7;0.0;49.97;0.04;0;0;0.00003;-0.96002;
1111 1111 0000 0000;7390525;0.013;33.63;54.61;3.004;19.8;234.6;15.7;0.0;49.98;0.05;0;0;0.00000;-0.97809;
1111 1111 0000 0000;7401356;0.013;33.03;54.65;3.004;14.6;234.4;15.4;0.0;49.98;0.06;0;0;0.00000;-0.97321;
1111 1111 0000 0000;7412945;0.013;32.42;54.59;3.004;14.5;234.4;15.4;0.0;49.97;0.04;0;0;0.00000;-0.98907;
1111 1111 0000 0000;7428283;0.013;32.81;54.59;3.004;14.5;234.4;14.5;0.0;49.98;0.05;0;0;0.00000;-0.96973;
1111 1111 0000 0000;7430623;0.013;32.82;54.61;3.004;14.6;234.5;14.5;0.0;49.98;0.04;0;0;0.00000;-0.98163;
1111 1111 0000 0000;7436103;0.013;32.43;54.57;3.004;14.6;234.2;14.5;0.0;49.98;0.04;0;0;0.00003;-0.98230;
1111 1111 0000 0000;7453259;0.013;32.82;54.65;3.003;14.4;234.6;13.9;0.0;49.99;0.04;0;0;0.00003;-0.98975;
1111 1111 0000 0000;7462785;0.013;33.11;54.61;3.004;14.9;234.6;13.6;0.0;50.01;0.03;0;0;0.00000;-0.96112;
1111 1111 0000 0000;7484194;0.013;32.12;54.61;3.003;14.4;234.5;13.9;0.0;49.97;0.04;0;0;0.00003;-0.98047;"Walid is great";
1111 1111 0000 0000;7493955;0.013;32.12;54.62;3.004;14.4;234.4;14.5;0.0;49.99;0.05;0;0;0.00003;-0.97552;
1111 1111 0000 0000;7537715;0.014;32.43;54.62;3.004;14.5;234.3;16.9;0.0;50.01;0.06;0;0;0.00003;-0.98358;
1111 1111 0000 0000;7541924;0.014;32.44;54.61;3.004;14.5;234.5;17.2;0.0;50.00;0.05;0;0;0.00000;-0.98340;
1111 1111 0000 0000;7552965;0.014;32.73;54.61;3.004;14.9;234.4;17.2;0.0;50.02;0.05;0;0;0.00000;-0.97546;
1111 1111 0000 0000;7562505;0.014;32.53;54.67;3.003;14.5;234.8;17.2;0.0;50.01;0.05;0;0;0.00000;-0.97394;
1111 1111 0000 0000;7567365;0.014;32.13;54.68;3.004;14.5;234.6;17.2;0.0;50.01;0.05;0;0;0.00003;-0.96893;
1111 1111 0000 0000;7571377;0.014;32.82;54.72;3.003;14.6;235.0;17.2;0.0;50.02;0.05;0;0;0.00000;-0.95715;
1111 1111 0000 0000;7587417;0.014;32.73;54.56;3.004;14.8;234.2;17.5;0.0;50.01;0.05;0;0;0.00003;-0.94940;
1111 1111 0000 0000;7599725;0.014;32.73;54.62;3.003;14.6;234.7;17.2;0.0;50.00;0.05;0;0;0.00003;-0.96185;
1111 1111 0000 0000;7601468;0.014;32.44;54.68;3.003;14.6;234.7;17.2;0.0;50.00;0.06;0;0;0.00000;-0.97870;
1111 1111 0000 0000;7605057;0.014;33.04;54.61;3.004;14.6;234.6;17.2;0.0;50.01;0.05;0;0;-0.00009;-0.96576;
1111 1111 0000 0000;7608647;0.014;33.32;54.58;3.004;14.6;234.2;17.2;0.0;50.02;0.05;0;0;-0.00009;-0.95239;
1111 1111 0000 0000;7611746;0.014;33.31;54.59;3.004;14.6;234.2;16.9;0.0;50.02;0.05;0;0;0.00003;-0.95728;
1111 1111 0000 0000;7613466;0.014;33.73;54.59;3.003;14.5;234.5;16.9;0.0;50.02;0.04;0;0;0.00003;-0.96112;
1111 1111 0000 0000;7615697;0.014;33.03;54.61;3.003;14.6;234.3;17.2;0.0;50.02;0.05;0;0;0.00000;-0.96277;"Walid is great";
