"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;496127;0.001;22.79;53.18;2.981;23.3;228.6;8.2;0.0;50.00;0.04;0;0;-0.00003;-0.97058;
1111 1111 0000 0000;509067;0.001;22.12;53.18;2.981;23.3;228.4;7.9;0.0;50.00;0.04;0;0;-0.00003;-0.98199;
1111 1111 0000 0000;511915;0.001;21.89;53.19;2.981;23.3;228.6;8.2;0.0;50.01;0.03;0;0;-0.00003;-0.95764;
1111 1111 0000 0000;513929;0.001;21.89;53.20;2.982;23.9;228.6;8.2;0.0;50.00;0.04;0;0;0.00000;-0.96716;
1111 1111 0000 0000;516609;0.001;22.73;53.18;2.981;23.4;228.5;8.2;0.0;50.01;0.04;0;0;-0.00003;-0.97784;
1111 1111 0000 0000;517959;0.001;22.43;53.20;2.982;23.3;228.4;8.2;0.0;50.00;0.04;0;0;0.00000;-0.97937;
1111 1111 0000 0000;519969;0.001;22.44;53.19;2.982;23.4;228.5;8.2;0.0;50.00;0.04;0;0;-0.00003;-0.98608;
1111 1111 0000 0000;522374;0.001;22.20;53.18;2.981;23.3;228.7;8.2;0.0;50.00;0.04;0;0;-0.00003;-0.96637;
1111 1111 0000 0000;524388;0.001;22.49;53.18;2.980;23.4;228.6;8.2;0.0;50.00;0.04;0;0;0.00000;-0.97424;
1111 1111 0000 0000;526398;0.001;22.49;53.14;2.982;23.3;228.5;8.2;0.0;50.01;0.04;0;0;-0.00003;-0.96173;
1111 1111 0000 0000;530424;0.001;22.49;53.19;2.981;23.9;228.6;8.2;0.0;50.00;0.03;0;0;0.00000;-0.95587;
1111 1111 0000 0000;532443;0.001;22.43;53.14;2.982;23.4;228.4;8.2;0.0;50.00;0.04;0;0;-0.00003;-0.97638;
1111 1111 0000 0000;534458;0.001;21.90;53.22;2.980;23.4;228.6;8.2;0.0;50.00;0.04;0;0;0.00000;-0.99951;
1111 1111 0000 0000;536468;0.001;22.43;53.18;2.981;23.4;228.4;8.2;0.0;50.00;0.04;0;0;-0.00003;-0.97559;
1111 1111 0000 0000;540487;0.001;22.43;53.17;2.982;23.3;228.3;8.2;0.0;50.01;0.04;0;0;-0.00003;-0.97113;
1111 1111 0000 0000;542497;0.001;23.11;53.23;2.980;23.4;228.6;8.2;0.0;50.00;0.04;0;0;0.00000;-0.99341;
1111 1111 0000 0000;544507;0.001;23.12;53.18;2.981;23.4;228.6;8.2;0.0;50.00;0.03;0;0;-0.00003;149.96338;
