"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;20136643;0.455;38.26;55.14;2.997;33.4;236.1;199.6;0.0;49.98;0.85;0;0;0.03204;-0.93707;
1111 1111 0000 0000;20139171;0.456;38.01;55.20;2.998;33.7;236.1;207.8;0.0;49.98;0.88;0;0;0.02289;-0.99518;
