"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
0011 1100 0010 0000;454520;0.000;17.63;54.19;2.994;0.7;300.5;0.0;0.0;50.01;0.00;0;0;0.00000;122.42432;
0011 1100 0010 0000;456525;0.000;17.63;54.21;2.994;0.9;300.6;0.0;0.0;50.01;0.00;0;0;-0.00006;122.31445;
0011 1100 0010 0000;458860;0.000;17.63;54.20;2.993;0.9;300.4;0.0;0.0;50.00;0.00;0;0;-0.00003;122.24121;
0011 1100 0010 0000;462930;0.000;17.63;54.20;2.993;0.7;300.5;0.0;0.0;49.99;0.00;0;0;0.00000;121.96655;
0011 1100 0010 0000;464935;0.000;17.63;54.19;2.994;1.0;300.4;0.0;0.0;50.00;0.01;0;0;0.00000;121.82922;
0011 1100 0010 0000;466946;0.000;17.63;54.20;2.994;0.9;300.6;0.0;0.0;49.99;0.01;0;0;-0.00003;121.71936;
0011 1100 0010 0000;468954;0.000;17.63;54.22;2.994;1.0;300.6;0.0;0.0;49.99;0.00;0;0;0.00000;121.54541;
0001 1000 0010 0000;99;0.000;16.34;17.02;2.994;0.9;284.5;0.0;0.0;51.36;0.00;0;0;-0.00006;27.43835;
0001 1000 0010 0000;42;0.000;16.57;5.20;2.993;0.7;303.4;0.0;0.0;55.00;0.00;0;0;-0.00003;27.91443;
0011 1000 0010 0000;30;0.000;16.64;2.52;2.970;0.9;314.8;0.0;0.0;50.86;0.00;0;0;-0.00006;28.08838;
0001 1000 0010 0000;20;0.000;16.65;2.45;2.970;0.9;310.6;0.0;0.0;54.14;0.00;0;0;-0.00006;28.07922;
0001 1000 0010 0000;42;0.000;16.54;6.01;2.994;0.6;310.0;0.0;0.0;47.18;0.00;0;0;-0.00006;27.84119;
0001 1000 0010 0000;43;0.000;16.53;6.83;2.993;0.9;308.0;0.0;0.0;46.36;0.00;0;0;-0.00006;27.84119;
0011 1000 0010 0000;70;0.000;16.47;8.18;2.994;0.7;286.5;0.0;0.0;49.28;0.00;0;0;-0.00006;27.71301;"Walid is great";
0001 1000 0010 0000;52;0.000;16.54;6.03;2.993;0.7;308.7;0.0;0.0;47.32;0.00;0;0;-0.00006;27.85034;
0000 0000 0000 0000;11;0.000;0.00;0.00;0.000;0.7;0.0;0.0;0.0;0.00;0.00;0;0;-0.00015;0.00000;
0011 1000 0010 0000;57;0.000;16.53;9.75;2.993;0.9;294.3;0.0;0.0;48.70;0.00;0;0;-0.00003;27.85950;"Walid is great";
0001 1000 0010 0000;55;0.000;16.55;9.34;2.994;0.7;298.1;0.0;0.0;47.93;0.00;0;0;-0.00006;27.86865;
0001 1000 0010 0000;64;0.000;16.45;9.78;2.993;1.2;308.3;0.0;0.0;49.26;0.00;0;0;-0.00006;27.66724;
0001 1000 0010 0000;54;0.000;16.56;6.76;2.993;0.7;300.8;0.0;0.0;47.70;0.00;0;0;-0.00006;27.87781;
0001 1000 0010 0000;78;0.000;16.45;9.65;2.994;0.7;303.2;0.0;0.0;45.95;0.00;0;0;-0.00006;27.67639;
0011 1000 0010 0000;168;0.000;16.78;21.95;2.993;1.2;303.5;0.0;0.0;49.80;0.00;0;0;-0.00006;28.31726;"Walid is great";
0011 1000 0010 0000;342;0.000;16.71;36.04;2.993;1.0;301.6;0.0;0.0;49.96;0.00;0;0;-0.00006;28.15247;
0011 1000 0010 0000;169;0.000;16.78;21.73;2.993;0.9;305.2;0.0;0.0;49.56;0.00;0;0;-0.00003;28.31726;
0011 1000 0010 0000;155;0.000;16.79;19.45;2.993;1.0;303.8;0.0;0.0;49.18;0.00;0;0;-0.00006;28.33557;
0011 1000 0010 0000;259;0.000;16.75;28.66;2.993;1.2;298.4;0.0;0.0;50.44;0.00;0;0;-0.00009;28.26233;"Walid is great";
0011 1000 0010 0000;223;0.000;16.76;27.65;2.994;0.9;300.7;0.0;0.0;49.49;0.00;0;0;-0.00006;28.27148;
0001 1000 0010 0000;97;0.000;16.80;12.22;2.993;0.9;297.0;0.0;0.0;46.60;0.00;0;0;-0.00006;28.38135;
0011 1000 0010 0000;341;0.000;16.73;36.13;2.993;1.0;301.2;0.0;0.0;49.78;0.00;0;0;-0.00003;28.19824;
0001 1000 0010 0000;149;0.000;16.84;17.78;2.994;1.2;295.4;0.0;0.0;47.97;0.00;0;0;-0.00006;28.46375;
0011 1100 0010 0000;6214;0.000;17.40;54.31;2.994;1.2;301.1;0.0;0.0;49.97;0.00;0;0;0.00000;30.66101;"Walid is great";
