"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;1853552;0.000;31.92;53.97;2.959;8.1;232.4;3.5;0.0;50.00;0.00;0;0;0.00000;-0.98492;
1111 1111 0000 0000;1855562;0.000;31.91;53.94;2.959;7.9;232.2;3.5;0.0;50.02;0.00;0;0;-0.00003;-0.99713;
1111 1111 0000 0000;1857574;0.000;31.92;54.00;2.959;8.1;232.5;2.9;0.0;50.01;0.01;0;0;0.00000;149.73450;
1111 1111 0000 0000;1859584;0.000;31.91;53.99;2.959;8.1;232.5;2.3;0.0;50.00;0.01;0;0;0.00000;147.91260;
1111 1111 0000 0000;1861593;0.000;31.92;53.99;2.958;8.1;232.6;3.5;0.0;50.02;0.01;0;0;-0.00003;147.55554;
1111 1111 0000 0000;1863603;0.000;31.35;54.02;2.959;8.2;232.4;3.5;0.0;50.01;0.02;0;0;0.00000;-0.98834;"Walid is great";
1111 1111 0000 0000;10691256;0.015;31.67;54.28;2.959;9.4;233.7;3.5;0.0;50.02;0.01;0;0;0.00003;149.12109;
1111 1111 0000 0000;10693265;0.015;31.67;54.29;2.959;9.4;233.7;3.5;0.0;50.02;0.02;0;0;0.00000;148.46191;
1111 1111 0000 0000;10699922;0.015;31.67;54.25;2.959;9.2;233.6;3.5;0.0;50.00;0.01;0;0;0.00000;-0.96344;
1111 1111 0000 0000;10701937;0.015;31.67;54.21;2.959;9.2;233.3;3.5;0.0;50.01;0.01;0;0;0.00003;-0.99805;
1111 1111 0000 0000;10704062;0.015;31.90;54.23;2.959;9.5;233.5;2.9;0.0;50.00;0.01;0;0;0.00000;149.88098;
1111 1111 0000 0000;10710713;0.015;31.45;54.23;2.958;9.4;233.5;2.9;0.0;50.00;0.01;0;0;0.00003;148.90137;"Walid is great";
1111 1111 0000 0000;10712713;0.015;30.99;54.24;2.959;9.2;233.6;2.9;0.0;50.00;0.01;0;0;0.00003;148.51685;
1111 1111 0000 0000;10721395;0.015;31.22;54.19;2.959;9.4;233.1;2.9;0.0;50.00;0.01;0;0;0.00000;-0.98407;
1111 1111 0000 0000;10723403;0.015;30.98;54.19;2.959;9.4;233.1;2.3;0.0;50.01;0.01;0;0;0.00003;-0.98987;
1111 1111 0000 0000;10731458;0.015;31.44;54.19;2.959;9.4;233.3;2.9;0.0;50.00;0.01;0;0;0.00000;-0.95374;
1111 1111 0000 0000;10733468;0.015;31.45;54.23;2.959;9.4;233.4;3.5;0.0;50.00;0.02;0;0;0.00003;148.37952;
1111 1111 0000 0000;10740069;0.015;30.77;54.19;2.958;9.1;233.2;2.9;0.0;50.00;0.01;0;0;0.00000;-0.98108;
1111 1111 0000 0000;10742186;0.015;31.23;54.19;2.959;9.2;233.2;3.5;0.0;50.01;0.02;0;0;0.00003;-0.97211;
1111 1111 0000 0000;10744183;0.015;30.78;54.22;2.958;9.2;233.3;2.9;0.0;50.00;0.01;0;0;0.00000;148.93799;
1111 1111 0000 0000;10750251;0.015;30.77;54.21;2.959;9.2;233.3;3.5;0.0;50.00;0.01;0;0;0.00003;149.53308;
1111 1111 0000 0000;10752257;0.015;31.14;54.19;2.959;9.4;233.1;3.5;0.0;50.00;0.01;0;0;0.00003;-0.98248;
1111 1111 0000 0000;10754331;0.015;31.23;54.18;2.959;9.2;233.1;2.9;0.0;50.01;0.02;0;0;0.00003;148.33374;
1111 1111 0000 0000;16217515;0.038;32.24;53.83;2.959;11.7;231.7;11.5;0.0;49.99;0.04;0;0;0.00000;-0.96863;
1111 1111 0000 0000;16219570;0.038;32.72;53.85;2.959;12.2;231.9;11.5;0.0;50.01;0.04;0;0;0.00003;-0.94415;
1111 1111 0000 0000;16221592;0.038;33.09;53.84;2.959;11.9;231.6;11.5;0.0;50.00;0.04;0;0;0.00000;-0.97406;
1111 1111 0000 0000;16250545;0.038;33.31;53.92;2.959;11.7;232.0;13.2;0.0;49.98;0.04;0;0;0.00003;-0.97418;
1111 1111 0000 0000;16258754;0.038;33.87;53.96;2.959;11.7;232.3;13.2;0.0;49.97;0.04;0;0;0.00000;-0.96741;
1111 1111 0000 0000;16260765;0.038;33.40;53.96;2.959;11.9;232.4;13.2;0.0;49.98;0.04;0;0;0.00003;-0.96704;"Walid is great";
1111 1111 0000 0000;16268995;0.038;33.31;53.99;2.959;11.9;232.2;13.2;0.0;49.98;0.05;0;0;0.00003;-0.94885;
1111 1111 0000 0000;16271039;0.038;33.31;53.96;2.959;11.9;232.4;13.2;0.0;49.98;0.05;0;0;0.00000;-0.94617;
1111 1111 0000 0000;16279184;0.038;33.31;53.98;2.959;12.2;232.4;13.8;0.0;49.98;0.04;0;0;0.00003;-0.96667;
1111 1111 0000 0000;16281242;0.038;32.94;54.00;2.959;11.9;232.5;13.2;0.0;49.97;0.04;0;0;0.00003;-0.95660;
1111 1111 0000 0000;16289335;0.038;33.31;53.95;2.959;11.9;232.2;13.8;0.0;49.99;0.04;0;0;0.00000;-0.94629;
1111 1111 0000 0000;16291345;0.038;33.40;53.94;2.959;11.9;232.1;13.2;0.0;49.98;0.04;0;0;0.00003;-0.96466;
1111 1111 0000 0000;16299480;0.038;33.40;53.97;2.959;12.0;232.4;13.8;0.0;49.98;0.04;0;0;0.00000;-0.96307;
1111 1111 0000 0000;16301496;0.038;33.40;54.02;2.959;12.0;232.5;13.2;0.0;49.98;0.04;0;0;0.00003;-0.95129;
1111 1111 0000 0000;16309672;0.038;33.87;53.97;2.959;11.7;232.4;13.8;0.0;49.98;0.04;0;0;0.00003;-0.96637;
1111 1111 0000 0000;16311703;0.038;33.31;53.92;2.959;11.7;232.0;13.2;0.0;49.98;0.04;0;0;0.00000;-0.96387;
1111 1111 0000 0000;16318262;0.038;33.31;54.00;2.959;11.7;232.5;13.2;0.0;49.98;0.04;0;0;0.00000;-0.95880;
