"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;28140794;0.144;32.46;54.09;2.992;20.2;232.9;15.8;0.0;49.98;0.06;0;0;0.00003;-0.96954;
1111 1111 0000 0000;28147659;0.144;32.32;54.07;2.997;20.1;232.4;16.1;0.0;49.98;0.07;0;0;-0.00009;-0.96228;
1111 1111 0000 0000;28149615;0.144;33.11;54.10;2.988;20.2;233.1;16.4;0.0;49.98;0.07;0;0;0.00003;-0.95789;"Walid is great";
1111 1111 0000 0000;28151864;0.144;32.69;54.16;2.989;20.2;233.1;16.4;0.0;49.98;0.07;0;0;0.00003;-0.96210;
1111 1111 0000 0000;28153845;0.144;32.50;54.09;2.989;20.2;233.1;16.7;0.0;49.99;0.05;0;0;0.00000;-0.96930;
1111 1111 0000 0000;28155835;0.144;33.06;53.99;2.992;20.1;232.8;16.7;0.0;49.99;0.06;0;0;0.00000;-0.95374;
1111 1111 0000 0000;28158096;0.144;32.78;54.13;2.989;20.2;233.0;16.4;0.0;49.98;0.05;0;0;-0.00003;-0.97382;
1111 1111 0000 0000;28160107;0.144;33.28;54.16;2.990;20.4;232.9;16.7;0.0;49.98;0.07;0;0;0.00003;-0.96301;
1111 1111 0000 0000;28185897;0.144;33.09;54.14;2.989;19.6;233.0;17.0;0.0;49.98;0.06;0;0;-0.00003;-0.94977;
1111 1111 0000 0000;28187885;0.144;32.44;53.95;2.986;20.2;233.1;17.3;0.0;49.97;0.07;0;0;0.00003;-0.96124;
1111 1111 0000 0000;28190776;0.144;33.42;54.05;2.986;20.4;233.1;17.3;0.0;49.97;0.07;0;0;0.00003;-0.95532;"Walid is great";
1111 1111 0000 0000;28192755;0.144;32.77;54.09;2.990;20.2;232.9;17.3;0.0;49.98;0.07;0;0;0.00003;-0.96613;
1111 1111 0000 0000;28195226;0.144;32.62;54.01;2.990;20.2;232.3;17.0;0.0;49.97;0.07;0;0;0.00003;-0.97644;
1111 1111 0000 0000;28197234;0.144;33.28;54.11;2.990;20.2;232.8;17.0;0.0;49.97;0.09;0;0;0.00000;-0.98071;
1111 1111 0000 0000;28199226;0.144;32.79;54.14;2.990;19.9;233.2;17.3;0.0;49.97;0.07;0;0;0.00003;-0.96240;
1111 1111 0000 0000;28201235;0.144;32.66;54.09;2.992;20.4;232.8;17.0;0.0;49.97;0.06;0;0;0.00000;-0.95227;
1111 1111 0000 0000;28203476;0.144;33.23;53.95;2.995;20.2;232.4;17.0;0.0;49.97;0.06;0;0;0.00003;-0.94995;
1111 1111 0000 0000;28215946;0.144;32.68;54.14;2.991;20.4;232.9;16.7;0.0;49.98;0.07;0;0;0.00000;-0.95197;
1111 1111 0000 0000;28218557;0.144;32.37;54.05;2.992;20.2;232.5;16.7;0.0;49.98;0.07;0;0;0.00003;-0.97742;
1111 1111 0000 0000;28221106;0.144;33.00;54.14;2.989;20.5;232.9;16.7;0.0;49.98;0.06;0;0;-0.00003;-0.97131;
1111 1111 0000 0000;28223322;0.144;33.30;54.11;2.989;20.4;233.0;16.4;0.0;49.98;0.06;0;0;-0.00003;-0.94562;
1111 1111 0000 0000;28236495;0.144;33.28;54.11;2.990;20.4;233.0;15.8;0.0;49.98;0.06;0;0;0.00000;-0.97516;
1111 1111 0000 0000;28237765;0.144;33.95;54.18;2.992;20.4;232.8;15.8;0.0;49.99;0.05;0;0;0.00000;-0.96240;"Walid is great";
1111 1111 0000 0000;28239756;0.144;33.39;54.22;2.988;20.2;233.2;15.5;0.0;50.00;0.06;0;0;0.00003;-0.97522;
1111 1111 0000 0000;28246537;0.144;32.73;54.06;2.993;20.4;232.7;15.2;0.0;49.98;0.05;0;0;0.00000;-0.96948;
1111 1111 0000 0000;28249072;0.144;32.47;54.13;2.991;20.4;233.0;15.2;0.0;49.99;0.05;0;0;0.00000;-0.97784;
1111 1111 0000 0000;28251075;0.144;32.41;54.11;2.989;20.5;233.1;15.2;0.0;49.98;0.06;0;0;0.00000;-0.95062;
1111 1111 0000 0000;28255947;0.144;32.80;54.11;2.992;20.2;233.3;14.9;0.0;49.98;0.05;0;0;0.00003;-0.95093;
1111 1111 0000 0000;28257395;0.144;33.00;54.14;2.989;20.2;232.9;14.9;0.0;49.98;0.07;0;0;0.00000;-0.95050;
1111 1111 0000 0000;28260054;0.144;33.37;54.17;2.990;20.4;233.0;14.9;0.0;49.98;0.06;0;0;0.00003;-0.96930;"Walid is great";
1111 1111 0000 0000;28266207;0.144;33.35;54.14;2.992;20.4;233.0;14.9;0.0;49.97;0.05;0;0;0.00000;-0.98584;
1111 1111 0000 0000;28277148;0.144;33.37;54.15;2.990;20.5;233.2;14.9;0.0;49.98;0.05;0;0;0.00000;-0.95905;
1111 1111 0000 0000;28279176;0.144;32.73;54.06;2.987;20.4;232.8;14.9;0.0;49.97;0.05;0;0;0.00003;-0.95654;
1111 1111 0000 0000;28287607;0.144;32.40;54.12;2.990;20.4;233.2;15.0;0.0;49.96;0.05;0;0;0.00000;-0.97357;
1111 1111 0000 0000;28289598;0.144;33.11;54.44;2.988;20.1;233.5;14.9;0.0;49.96;0.06;0;0;0.00000;-0.96136;
1111 1111 0000 0000;28296522;0.144;32.96;54.24;2.992;20.4;233.2;15.2;0.0;49.97;0.07;0;0;0.00003;-0.97998;
1111 1111 0000 0000;28297816;0.145;32.41;54.19;2.989;20.1;233.3;15.2;0.0;49.97;0.07;0;0;0.00003;-0.95697;
1111 1111 0000 0000;28300068;0.145;33.03;54.32;2.986;20.2;233.6;15.2;0.0;49.97;0.07;0;0;0.00000;-0.98267;"Walid is great";
1111 1111 0000 0000;28306298;0.145;33.08;54.30;2.990;20.2;233.3;15.8;0.0;49.97;0.07;0;0;0.00000;-0.96143;
1111 1111 0000 0000;28308847;0.145;33.69;54.18;2.990;19.9;233.3;15.8;0.0;49.97;0.06;0;0;0.00000;-0.95258;
1111 1111 0000 0000;28310278;0.145;33.01;54.10;2.989;20.4;232.6;15.8;0.0;49.97;0.07;0;0;0.00000;-0.96606;
1111 1111 0000 0000;28312507;0.145;33.06;54.15;2.992;20.4;233.1;16.1;0.0;49.97;0.06;0;0;0.00003;-0.95825;
1111 1111 0000 0000;28317188;0.145;32.73;54.08;2.994;20.4;233.0;16.4;0.0;49.97;0.07;0;0;0.00003;-0.95868;
1111 1111 0000 0000;28319196;0.145;33.38;54.07;2.989;20.4;233.2;16.4;0.0;49.96;0.07;0;0;0.00003;-0.96002;
1111 1111 0000 0000;28321188;0.145;33.59;54.08;2.991;20.5;233.2;16.7;0.0;49.97;0.06;0;0;0.00003;-0.97491;
1111 1111 0000 0000;28329438;0.145;33.36;54.13;2.991;20.4;233.1;17.0;0.0;49.96;0.07;0;0;0.00003;-0.95514;
1111 1111 0000 0000;28331687;0.145;33.29;54.11;2.989;20.4;233.3;17.3;0.0;49.96;0.06;0;0;0.00003;-0.96069;
1111 1111 0000 0000;28347806;0.145;32.78;54.14;2.990;20.4;233.2;18.5;0.0;49.95;0.07;0;0;0.00003;-0.97217;
1111 1111 0000 0000;28349798;0.145;33.26;54.26;2.991;20.5;233.1;18.2;0.0;49.95;0.07;0;0;0.00000;-0.97394;
1111 1111 0000 0000;28352648;0.145;33.27;54.16;2.992;20.5;232.9;18.5;0.0;49.96;0.08;0;0;0.00000;-0.96100;
1111 1111 0000 0000;28353928;0.145;32.68;54.22;2.990;20.7;233.1;18.8;0.0;49.96;0.07;0;0;0.00003;-0.95581;
1111 1111 0000 0000;28355927;0.145;33.28;54.14;2.990;20.4;233.2;18.8;0.0;49.97;0.08;0;0;0.00003;-0.95911;
1111 1111 0000 0000;28358329;0.145;33.24;54.15;2.995;19.9;233.0;18.8;0.0;49.97;0.07;0;0;0.00003;-0.94495;
1111 1111 0000 0000;28360308;0.145;33.36;54.16;2.992;20.2;233.1;19.4;0.0;49.97;0.07;0;0;-0.00003;-0.94635;
1111 1111 0000 0000;28367218;0.145;33.64;54.21;2.987;20.4;233.5;19.4;0.0;49.97;0.08;0;0;0.00003;-0.93585;
1111 1111 0000 0000;28369775;0.145;33.00;54.15;2.991;20.7;233.1;19.7;0.0;49.95;0.08;0;0;-0.00003;-0.94562;
1111 1111 0000 0000;28378040;0.145;33.01;54.20;2.990;20.7;233.3;20.3;0.0;49.96;0.08;0;0;0.00003;-0.95636;
1111 1111 0000 0000;28380019;0.145;33.01;54.17;2.990;20.5;233.1;20.9;0.0;49.95;0.07;0;0;-0.00003;-0.93793;"Walid is great";
1111 1111 0000 0000;28387135;0.145;33.28;54.10;2.992;20.5;233.0;20.9;0.0;49.95;0.08;0;0;0.00003;-0.96484;
1111 1111 0000 0000;28388960;0.145;33.41;54.14;2.988;20.5;233.3;21.2;0.0;49.96;0.07;0;0;0.00000;-0.94385;
1111 1111 0000 0000;28390999;0.145;32.79;54.17;2.989;20.7;233.2;21.2;0.0;49.95;0.07;0;0;0.00000;-0.94385;
1111 1111 0000 0000;28406521;0.145;33.01;54.12;2.990;20.7;233.0;22.1;0.0;49.96;0.07;0;0;0.00003;-0.96045;
1111 1111 0000 0000;28407429;0.145;33.44;54.17;2.986;20.8;233.4;22.7;0.0;49.96;0.08;0;0;0.00003;-0.94421;
1111 1111 0000 0000;28409679;0.145;33.41;54.14;2.989;20.7;233.2;22.7;0.0;49.96;0.09;0;0;0.00000;-0.95227;
1111 1111 0000 0000;28418238;0.145;33.61;54.25;2.990;20.7;233.2;23.0;0.0;49.96;0.09;0;0;0.00000;-0.94128;"Walid is great";
1111 1111 0000 0000;28420228;0.145;33.96;54.28;2.986;20.9;233.8;23.3;0.0;49.95;0.08;0;0;0.00003;-0.95459;
1111 1111 0000 0000;28422230;0.145;33.29;54.19;2.991;20.8;233.1;23.3;0.0;49.95;0.08;0;0;0.00003;-0.96387;
1111 1111 0000 0000;28424259;0.145;34.02;54.23;2.988;20.8;233.3;23.3;0.0;49.96;0.09;0;0;0.00003;-0.95117;
1111 1111 0000 0000;28426248;0.145;33.31;54.10;2.990;20.8;233.3;23.3;0.0;49.96;0.09;0;0;-0.00006;-0.94415;
1111 1111 0000 0000;28428469;0.145;34.22;54.10;2.990;21.1;233.0;23.6;0.0;49.96;0.09;0;0;0.00000;-0.92743;
1111 1111 0000 0000;28430458;0.145;33.61;54.21;2.985;20.9;233.0;23.6;0.0;49.96;0.09;0;0;-0.00009;-0.93860;
1111 1111 0000 0000;28432460;0.145;33.91;54.14;2.990;20.9;233.1;23.6;0.0;49.96;0.09;0;0;0.00000;-0.93597;
1111 1111 0000 0000;28434700;0.145;33.62;54.22;2.990;20.9;233.1;23.3;0.0;49.96;0.10;0;0;0.00003;-0.97119;
1111 1111 0000 0000;28436711;0.145;34.20;54.16;2.991;20.9;232.9;23.9;0.0;49.96;0.09;0;0;0.00003;-0.95929;
1111 1111 0000 0000;28438669;0.145;33.68;54.20;2.992;20.8;233.0;23.9;0.0;49.96;0.09;0;0;0.00000;-0.94147;
1111 1111 0000 0000;28440909;0.145;33.61;54.24;2.986;20.9;233.0;23.9;0.0;49.96;0.10;0;0;0.00000;-0.94049;
1111 1111 0000 0000;28442900;0.145;33.63;54.14;2.990;20.8;233.1;23.9;0.0;49.96;0.09;0;0;0.00000;-0.94983;
1111 1111 0000 0000;28447249;0.145;33.68;54.03;2.992;21.1;232.8;23.9;0.0;49.95;0.08;0;0;0.00000;-0.94476;
1111 1111 0000 0000;28449241;0.145;33.62;54.02;2.990;21.1;232.9;23.8;0.0;49.95;0.10;0;0;0.00003;-0.96857;
1111 1111 0000 0000;28451710;0.145;33.62;54.13;2.990;21.1;233.1;23.8;0.0;49.96;0.09;0;0;0.00003;-0.92822;
1111 1111 0000 0000;28453770;0.145;33.61;54.02;2.991;21.1;233.0;23.9;0.0;49.94;0.09;0;0;0.00000;-0.95459;
1111 1111 0000 0000;28466659;0.145;33.88;54.14;2.992;21.1;232.8;24.2;0.0;49.97;0.10;0;0;-0.00003;-0.97009;
1111 1111 0000 0000;28468601;0.146;33.38;54.16;2.991;21.2;233.2;23.9;0.0;49.97;0.10;0;0;0.00000;-0.95337;
1111 1111 0000 0000;28470589;0.146;33.87;54.11;2.990;21.1;232.8;23.9;0.0;49.98;0.09;0;0;0.00000;-0.96643;
1111 1111 0000 0000;28476641;0.146;33.33;54.18;2.988;21.1;233.2;23.9;0.0;49.98;0.08;0;0;0.00000;-0.92792;
1111 1111 0000 0000;28478902;0.146;33.91;54.12;2.990;21.2;232.9;23.9;0.0;49.96;0.09;0;0;0.00000;-0.96844;
1111 1111 0000 0000;28481401;0.146;33.32;54.20;2.989;21.5;233.2;23.9;0.0;49.96;0.10;0;0;0.00003;-0.97095;
1111 1111 0000 0000;28483109;0.146;33.42;54.10;2.988;21.2;233.4;23.9;0.0;49.98;0.08;0;0;0.00003;-0.94678;"Walid is great";
1111 1111 0000 0000;28487332;0.146;33.26;54.11;2.994;21.2;232.8;23.9;0.0;49.98;0.10;0;0;0.00000;-0.95642;
1111 1111 0000 0000;28489300;0.146;33.32;54.28;2.991;21.2;233.1;23.9;0.0;49.98;0.10;0;0;0.00003;-0.93982;
1111 1111 0000 0000;28491321;0.146;33.40;54.23;2.989;21.2;233.4;23.9;0.0;49.98;0.09;0;0;0.00003;-0.94165;
1111 1111 0000 0000;28493320;0.146;33.31;54.17;2.989;21.2;233.3;23.9;0.0;49.99;0.10;0;0;0.00003;-0.92798;
1111 1111 0000 0000;28497562;0.146;33.29;54.16;2.991;21.2;233.0;23.6;0.0;49.98;0.09;0;0;0.00000;-0.96588;
1111 1111 0000 0000;28499560;0.146;32.71;54.15;2.990;20.5;233.4;23.9;0.0;49.97;0.10;0;0;0.00003;-0.94049;
1111 1111 0000 0000;28501741;0.146;33.30;54.18;2.991;21.2;233.0;23.3;0.0;49.97;0.09;0;0;0.00003;-0.97174;
1111 1111 0000 0000;28507797;0.146;33.31;54.12;2.990;21.2;233.4;23.3;0.0;49.97;0.10;0;0;0.00000;-0.94763;
1111 1111 0000 0000;28510561;0.146;33.13;54.19;2.988;21.2;233.5;23.3;0.0;49.98;0.09;0;0;0.00003;-0.95001;
1111 1111 0000 0000;28512597;0.146;33.61;54.32;2.991;21.4;233.3;23.6;0.0;49.98;0.10;0;0;0.00000;-0.92712;
1111 1111 0000 0000;28514541;0.146;33.03;54.32;2.989;21.4;233.5;23.9;0.0;49.98;0.10;0;0;0.00000;-0.93384;
1111 1111 0000 0000;28516802;0.146;33.63;54.17;2.989;21.4;233.4;23.6;0.0;49.97;0.10;0;0;0.00000;-0.96436;
1111 1111 0000 0000;28518813;0.146;33.62;54.22;2.990;21.4;233.3;23.6;0.0;49.97;0.09;0;0;0.00000;-0.94409;
1111 1111 0000 0000;28520801;0.146;33.62;54.19;2.990;21.4;233.2;23.9;0.0;49.97;0.10;0;0;0.00003;-0.92725;
1111 1111 0000 0000;28527620;0.146;33.87;54.05;2.990;20.8;232.9;23.9;0.0;49.97;0.09;0;0;0.00003;-0.96936;
1111 1111 0000 0000;28529872;0.146;33.29;54.11;2.991;21.4;233.0;23.6;0.0;49.97;0.10;0;0;0.00000;-0.93597;
1111 1111 0000 0000;28532081;0.146;33.87;54.09;2.994;21.4;232.9;23.3;0.0;49.98;0.09;0;0;0.00000;-0.92889;
1111 1111 0000 0000;28534102;0.146;33.92;54.23;2.988;21.1;233.4;23.3;0.0;49.97;0.10;0;0;0.00003;-0.94806;"Walid is great";
1111 1111 0000 0000;28536841;0.146;34.19;54.21;2.993;21.4;232.9;23.6;0.0;49.98;0.10;0;0;0.00003;-0.92432;
1111 1111 0000 0000;28538752;0.146;33.58;54.27;2.994;21.5;233.1;23.6;0.0;49.97;0.09;0;0;0.00000;-0.94019;
1111 1111 0000 0000;28540740;0.146;34.30;54.27;2.990;21.2;233.2;23.6;0.0;49.98;0.08;0;0;0.00003;-0.94916;
1111 1111 0000 0000;28546991;0.146;33.58;54.16;2.988;21.5;233.1;23.3;0.0;49.97;0.09;0;0;0.00000;-0.93420;
1111 1111 0000 0000;28549211;0.146;33.61;54.18;2.991;21.4;233.2;23.6;0.0;49.96;0.10;0;0;0.00000;-0.94098;
1111 1111 0000 0000;28551202;0.146;33.61;54.30;2.991;21.4;233.3;23.6;0.0;49.97;0.10;0;0;0.00003;-0.93036;
1111 1111 0000 0000;28553190;0.146;33.59;54.16;2.993;21.4;233.2;23.9;0.0;49.95;0.10;0;0;0.00000;-0.97009;
1111 1111 0000 0000;28557432;0.146;33.09;54.40;2.991;21.4;233.3;23.9;0.0;49.95;0.08;0;0;0.00003;-0.94678;
1111 1111 0000 0000;28559421;0.146;33.58;54.23;2.990;21.4;233.2;23.9;0.0;49.95;0.08;0;0;0.00000;-0.95453;
1111 1111 0000 0000;28561671;0.146;33.10;54.27;2.990;21.2;233.5;23.6;0.0;49.96;0.08;0;0;0.00003;-0.95319;
1111 1111 0000 0000;28563663;0.146;33.61;54.22;2.990;21.1;233.6;23.3;0.0;49.95;0.09;0;0;-0.00003;-0.95612;
1111 1111 0000 0000;28567941;0.146;33.62;54.15;2.990;21.8;233.5;23.9;0.0;49.96;0.09;0;0;0.00003;-0.97253;
1111 1111 0000 0000;28569933;0.146;33.60;54.17;2.994;21.5;233.4;23.3;0.0;49.96;0.08;0;0;0.00000;-0.93140;
1111 1111 0000 0000;28571922;0.146;33.62;54.23;2.990;21.4;233.3;23.9;0.0;49.96;0.09;0;0;-0.00003;-0.96259;
