"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;8530353;0.006;33.43;54.63;3.004;15.1;231.6;12.5;0.0;50.07;0.04;0;0;0.00000;-0.96063;
1111 1111 0000 0000;8610189;0.006;33.43;54.62;3.003;15.7;231.7;13.1;0.0;50.06;0.05;0;0;0.00003;-0.97705;"Walid is great";
1111 1111 0000 0000;8620202;0.006;32.84;54.60;3.003;15.5;231.5;13.1;0.0;50.05;0.06;0;0;0.00000;-0.97601;
1111 1111 0000 0000;8630612;0.006;33.44;54.59;3.003;15.2;231.3;13.7;0.0;50.06;0.06;0;0;-0.00006;-0.98022;
1111 1111 0000 0000;8640531;0.006;34.03;54.60;3.003;15.7;231.3;13.7;0.0;50.05;0.05;0;0;-0.00003;-0.97644;
1111 1111 0000 0000;8650750;0.006;32.75;54.59;3.003;15.5;231.3;13.7;0.0;50.06;0.06;0;0;0.00003;-0.97101;
1111 1111 0000 0000;18679748;0.096;34.90;54.91;3.003;25.8;232.2;51.0;0.0;50.03;0.19;0;0;-0.00009;-0.97321;
1111 1111 0000 0000;18681760;0.096;34.69;54.91;3.003;25.6;232.3;50.9;0.0;50.03;0.22;0;0;-0.00003;-0.97363;
