"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;4844260;0.003;33.11;54.41;2.960;4.5;234.6;8.6;0.0;50.01;0.04;0;0;0.00003;-0.98444;
1111 1111 0000 0000;4846249;0.003;33.02;54.41;2.959;4.4;234.2;8.6;0.0;50.03;0.04;0;0;0.00000;-0.96716;
1111 1111 0000 0000;4848253;0.003;33.63;54.42;2.958;4.5;234.4;8.3;0.0;50.03;0.04;0;0;0.00000;-0.98199;
1111 1111 0000 0000;4850499;0.003;33.43;54.41;2.959;4.5;234.5;8.3;0.0;50.02;0.02;0;0;0.00000;-0.98077;"Walid is great";
1111 1111 0000 0000;4852501;0.003;33.44;54.41;2.959;4.5;234.5;8.6;0.0;50.03;0.04;0;0;-0.00006;-0.99225;
1111 1111 0000 0000;4854505;0.003;32.73;54.41;2.959;4.5;234.3;8.9;0.0;50.02;0.04;0;0;0.00003;-0.96759;
1111 1111 0000 0000;4857180;0.003;33.43;54.41;2.960;4.5;234.4;8.6;0.0;50.01;0.03;0;0;0.00000;-0.95691;
1111 1111 0000 0000;4859179;0.003;33.43;54.41;2.959;4.5;234.5;8.6;0.0;50.02;0.03;0;0;-0.00003;-0.96002;
1111 1111 0000 0000;4861750;0.003;33.11;54.42;2.959;4.7;234.5;8.3;0.0;50.02;0.04;0;0;0.00000;-0.95911;
1111 1111 0000 0000;4863714;0.003;33.73;54.40;2.959;4.5;234.4;8.3;0.0;50.02;0.03;0;0;0.00000;-0.98022;
1111 1111 0000 0000;4866046;0.003;33.02;54.40;2.959;4.7;234.3;8.6;0.0;50.02;0.03;0;0;0.00000;-0.96558;
1111 1111 0000 0000;4868055;0.003;33.11;54.39;2.959;4.5;234.3;8.6;0.0;50.03;0.03;0;0;0.00000;-0.98053;
1111 1111 0000 0000;4870045;0.003;33.72;54.37;2.959;4.5;234.2;8.6;0.0;50.00;0.03;0;0;0.00003;-0.99200;
1111 1111 0000 0000;4872054;0.003;33.72;54.36;2.959;4.5;234.4;8.6;0.0;50.02;0.03;0;0;0.00003;-0.96075;
1111 1111 0000 0000;4874063;0.003;33.63;54.35;2.959;4.5;234.0;8.9;0.0;50.00;0.04;0;0;0.00000;-0.98169;
