"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;872507;0.000;11.85;54.62;3.002;14.9;232.4;0.0;0.0;49.99;0.00;0;0;-0.00006;101.67847;
1111 1111 0000 0000;7984511;0.017;33.83;54.54;3.003;20.4;233.6;38.6;0.0;50.05;0.29;0;0;0.00000;-0.96875;
