"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;7395012;0.013;33.57;54.33;2.997;13.2;233.4;18.0;0.0;49.96;0.06;0;0;0.00000;-0.95203;
1111 1111 0000 0000;7397017;0.013;33.57;54.31;2.997;13.3;233.2;18.0;0.0;49.95;0.07;0;0;0.00003;-0.97705;
1111 1111 0000 0000;7400314;0.013;33.96;54.36;2.996;13.2;233.5;18.0;0.0;49.96;0.06;0;0;-0.00003;-0.97443;
1111 1111 0000 0000;7402312;0.013;33.25;54.34;2.998;13.2;233.3;18.0;0.0;49.96;0.07;0;0;0.00000;-0.95679;
1111 1111 0000 0000;7404318;0.013;33.85;54.31;2.998;13.0;233.3;18.0;0.0;49.95;0.07;0;0;0.00003;-0.97247;
1111 1111 0000 0000;7407083;0.013;33.96;54.32;2.997;13.3;233.3;17.7;0.0;49.96;0.07;0;0;-0.00003;-0.96643;
1111 1111 0000 0000;7409062;0.013;34.57;54.31;2.996;13.2;233.5;18.0;0.0;49.98;0.07;0;0;-0.00003;-0.96130;
1111 1111 0000 0000;7411489;0.013;33.59;54.27;2.996;13.3;233.3;18.0;0.0;49.96;0.07;0;0;-0.00003;-0.96637;
1111 1111 0000 0000;7413552;0.013;33.66;54.37;2.997;13.2;233.5;18.0;0.0;49.97;0.07;0;0;0.00003;-0.95068;
1111 1111 0000 0000;7415534;0.013;33.55;54.30;2.997;13.2;233.2;18.0;0.0;49.96;0.07;0;0;0.00003;-0.96558;
1111 1111 0000 0000;7417537;0.013;34.18;54.32;2.997;13.3;233.2;18.0;0.0;49.95;0.06;0;0;0.00000;-0.96625;
1111 1111 0000 0000;7419815;0.013;33.57;54.30;2.997;13.3;233.3;18.0;0.0;49.97;0.06;0;0;0.00003;-0.94495;
1111 1111 0000 0000;7421793;0.013;34.26;54.29;2.997;13.3;233.3;18.0;0.0;49.96;0.06;0;0;0.00003;-0.95526;
1111 1111 0000 0000;7423798;0.013;34.28;54.32;2.996;13.2;233.4;17.7;0.0;49.96;0.06;0;0;0.00000;-0.97528;
1111 1111 0000 0000;7426144;0.013;33.67;54.34;2.997;13.3;233.3;18.0;0.0;49.96;0.07;0;0;0.00003;-0.96826;
1111 1111 0000 0000;7428216;0.013;34.16;54.34;2.998;13.2;233.2;18.0;0.0;49.96;0.07;0;0;-0.00003;-0.98236;
1111 1111 0000 0000;7430137;0.013;34.16;54.33;2.998;13.3;233.1;17.7;0.0;49.96;0.06;0;0;-0.00003;-0.96387;
1111 1111 0000 0000;7432375;0.014;33.58;54.30;2.996;13.3;233.1;18.0;0.0;49.97;0.07;0;0;-0.00006;-0.95966;
1111 1111 0000 0000;7434659;0.014;34.16;54.23;2.998;13.3;232.9;18.0;0.0;49.96;0.06;0;0;-0.00003;-0.94556;
1111 1111 0000 0000;7436653;0.014;34.18;54.28;2.997;13.3;233.2;18.0;0.0;49.95;0.06;0;0;0.00003;-0.94647;
1111 1111 0000 0000;7438665;0.014;33.65;54.21;2.998;13.3;233.3;17.7;0.0;49.95;0.06;0;0;0.00003;-0.95490;
1111 1111 0000 0000;7440677;0.014;34.18;54.29;2.997;13.3;233.2;18.0;0.0;49.95;0.06;0;0;0.00000;-0.94330;
1111 1111 0000 0000;7442689;0.014;34.17;54.35;2.997;13.3;233.3;18.0;0.0;49.96;0.06;0;0;-0.00003;-0.94385;
