"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
0011 1100 0010 0000;12870877;0.000;64.24;54.18;2.984;0.6;302.0;0.0;0.0;50.01;0.00;0;0;0.00003;-0.42090;
0011 1100 0010 0000;12875552;0.000;64.23;54.15;2.984;0.7;302.0;0.0;0.0;50.01;0.00;0;0;0.00003;-0.42090;
0011 1100 0010 0000;12877539;0.000;64.24;54.16;2.983;0.7;302.0;0.0;0.0;50.01;0.00;0;0;0.00000;-0.42065;
0011 1100 0010 0000;14285703;0.000;63.48;55.09;2.983;5.6;306.8;0.0;0.0;50.00;0.00;0;0;0.00916;-0.42065;
0011 1100 0010 0000;14287713;0.000;63.49;55.10;2.984;5.7;306.9;0.0;0.0;49.99;0.00;0;0;0.00458;-0.42072;
0011 1100 0010 0000;14290352;0.000;63.49;55.17;2.983;5.7;307.3;0.0;0.0;49.99;0.00;0;0;0.00458;-0.42065;
0011 1100 0010 0000;14292334;0.000;63.49;55.17;2.984;5.7;307.3;0.0;0.0;49.99;0.00;0;0;0.00916;-0.42072;
0011 1100 0010 0000;14294343;0.000;63.49;55.15;2.983;5.7;307.2;0.0;0.0;49.99;0.00;0;0;0.00000;-0.42059;
0011 1100 0010 0000;14296353;0.000;63.46;55.18;2.984;5.7;307.4;0.0;0.0;49.99;0.00;0;0;0.00458;-0.42090;
0011 1100 0010 0000;14298363;0.000;63.43;55.18;2.984;5.7;307.3;0.0;0.0;50.00;0.00;0;0;0.00916;-0.42084;
0011 1100 0010 0000;14300374;0.000;63.44;55.22;2.984;5.7;307.6;0.0;0.0;50.00;0.00;0;0;0.00916;-0.42078;
0011 1100 0010 0000;14302601;0.000;63.09;55.16;2.983;5.7;307.0;0.0;0.0;49.99;0.00;0;0;0.00003;-0.42035;
0011 1100 0010 0000;14304614;0.000;63.00;55.14;2.984;5.7;307.0;0.0;0.0;50.00;0.00;0;0;0.00000;-0.42084;
0011 1100 0010 0000;14306624;0.000;63.00;55.14;2.984;5.7;307.1;0.0;0.0;50.00;0.00;0;0;0.00000;-0.42072;
