"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;8850987;0.019;32.89;54.45;2.984;13.2;234.9;15.0;0.0;50.04;0.07;0;0;0.00003;-0.97485;
1111 1111 0000 0000;8860227;0.019;32.60;54.49;2.983;13.0;234.9;14.7;0.0;50.05;0.06;0;0;0.00003;-0.97321;
1111 1111 0000 0000;8881087;0.019;32.61;54.47;2.983;12.7;235.1;14.4;0.0;50.04;0.06;0;0;0.00003;-0.95319;
1111 1111 0000 0000;8889770;0.019;32.90;54.51;2.983;13.0;235.1;14.8;0.0;50.05;0.07;0;0;0.00003;-0.97742;
1111 1111 0000 0000;8900578;0.019;32.99;54.46;2.983;13.0;235.2;15.1;0.0;50.05;0.06;0;0;0.00003;-0.97162;
1111 1111 0000 0000;8912698;0.019;32.99;54.46;2.983;13.0;235.2;15.3;0.0;50.05;0.06;0;0;0.00000;-0.96613;
1111 1111 0000 0000;8915727;0.019;32.01;54.46;2.983;12.9;235.1;15.3;0.0;50.04;0.07;0;0;0.00003;-0.96490;
1111 1111 0000 0000;8930400;0.019;32.99;54.46;2.983;13.3;235.2;15.3;0.0;50.04;0.07;0;0;0.00000;-0.95892;
1111 1111 0000 0000;8934600;0.019;33.59;54.42;2.983;13.3;235.1;15.0;0.0;50.03;0.06;0;0;0.00000;-0.95715;
1111 1111 0000 0000;8939517;0.019;32.61;54.42;2.983;13.0;234.8;15.0;0.0;50.02;0.06;0;0;-0.00009;-0.97595;
1111 1111 0000 0000;8967969;0.019;32.38;54.41;2.983;12.7;234.8;13.8;0.0;50.01;0.07;0;0;0.00000;-0.98425;
1111 1111 0000 0000;8969229;0.019;32.39;54.44;2.983;13.0;234.8;13.8;0.0;50.00;0.05;0;0;0.00000;-0.98364;
1111 1111 0000 0000;8971368;0.019;32.37;54.44;2.983;13.0;235.0;13.8;0.0;50.02;0.06;0;0;0.00003;-0.97168;
1111 1111 0000 0000;8992183;0.019;32.39;54.41;2.983;12.9;234.6;13.2;0.0;50.00;0.06;0;0;0.00003;-0.96222;
1111 1111 0000 0000;8998360;0.019;32.98;54.37;2.984;12.9;234.6;13.2;0.0;50.01;0.06;0;0;0.00000;-0.97565;
1111 1111 0000 0000;9002910;0.019;32.60;54.36;2.984;12.9;234.3;13.5;0.0;50.01;0.06;0;0;0.00003;-0.96002;
1111 1111 0000 0000;9042040;0.019;32.60;54.38;2.983;12.7;234.6;13.2;0.0;49.99;0.05;0;0;0.00003;-0.96722;
1111 1111 0000 0000;9200563;0.020;33.91;54.48;2.983;13.0;235.2;16.2;0.0;50.03;0.07;0;0;0.00000;-0.94946;"Walid is great";
1111 1111 0000 0000;9205147;0.020;33.30;54.50;2.983;13.2;235.2;15.6;0.0;50.01;0.07;0;0;0.00003;-0.96979;
1111 1111 0000 0000;9213735;0.020;33.91;54.45;2.983;13.0;235.0;14.7;0.0;50.01;0.06;0;0;0.00003;-0.98352;
1111 1111 0000 0000;9216854;0.020;33.89;54.43;2.983;12.9;235.0;14.4;0.0;50.03;0.06;0;0;0.00000;-0.95508;
1111 1111 0000 0000;9219493;0.020;33.20;54.39;2.984;13.0;234.9;14.1;0.0;50.02;0.07;0;0;0.00000;-0.96655;
1111 1111 0000 0000;9465945;0.021;32.65;54.35;2.983;12.7;234.5;14.4;0.0;50.04;0.06;0;0;0.00000;-0.95087;
1111 1111 0000 0000;9467462;0.021;32.37;54.40;2.983;12.7;234.7;14.4;0.0;50.05;0.06;0;0;0.00000;-0.96375;
1111 1111 0000 0000;9471095;0.021;32.36;54.40;2.983;12.7;234.6;14.7;0.0;50.04;0.06;0;0;0.00000;-0.95709;
1111 1111 0000 0000;9475526;0.021;32.46;54.35;2.983;12.9;234.7;15.0;0.0;50.04;0.06;0;0;0.00000;-0.97931;
1111 1111 0000 0000;9483837;0.021;32.35;54.39;2.984;12.7;234.6;15.0;0.0;50.03;0.07;0;0;0.00000;-0.97754;
1111 1111 0000 0000;9487555;0.021;31.76;54.45;2.984;12.7;234.7;15.0;0.0;50.04;0.06;0;0;0.00003;-0.95673;
1111 1111 0000 0000;9505015;0.021;32.66;54.38;2.983;12.9;234.6;15.0;0.0;50.04;0.07;0;0;0.00003;-0.94934;
1111 1111 0000 0000;9514325;0.021;33.06;54.37;2.983;12.9;234.8;14.7;0.0;50.04;0.06;0;0;0.00003;-0.96613;
1111 1111 0000 0000;9527136;0.021;33.35;54.37;2.983;13.0;234.7;14.1;0.0;50.03;0.06;0;0;0.00000;-0.97742;
1111 1111 0000 0000;9543988;0.021;31.77;54.39;2.984;13.0;234.6;13.8;0.0;50.02;0.06;0;0;0.00000;-0.96399;
