"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;907286;0.000;18.57;55.09;2.987;-7.8;233.6;0.0;0.0;50.00;0.01;0;0;-0.00003;147.54639;
1111 1111 0000 0000;947125;0.000;19.32;55.12;2.987;-7.9;233.6;0.0;0.0;50.00;0.00;0;0;-0.00003;-0.96722;
1111 1111 0000 0000;986877;0.000;20.07;55.06;2.987;-7.9;233.4;0.0;0.0;50.00;0.01;0;0;-0.00003;-0.96912;
1111 1111 0000 0000;997126;0.000;19.56;55.03;2.988;-7.8;233.4;0.0;0.0;50.00;0.01;0;0;-0.00003;-0.98230;
1111 1111 0000 0000;1007556;0.000;20.07;54.98;2.987;-7.8;233.1;0.0;0.0;50.00;0.02;0;0;0.00000;-0.98004;
1111 1111 0000 0000;1017608;0.000;19.05;55.03;2.988;-7.6;233.3;0.0;0.0;49.99;0.01;0;0;0.00000;-0.97894;
1111 1111 0000 0000;1077547;0.000;19.31;55.04;2.988;-7.6;233.1;0.0;0.0;50.00;0.01;0;0;0.00000;-0.97943;
1111 1111 0000 0000;1157436;0.000;19.32;55.05;2.988;-7.6;233.4;0.0;0.0;50.01;0.00;0;0;-0.00003;-0.97479;"Walid is great";
1111 1111 0000 0000;1168006;0.000;19.32;55.05;2.988;-7.8;233.3;0.0;0.0;50.00;0.00;0;0;-0.00006;-0.96765;
1111 1111 0000 0000;1187425;0.000;19.05;55.05;2.988;-7.6;233.2;0.0;0.0;50.00;0.00;0;0;-0.00003;-0.98053;
1111 1111 0000 0000;1197848;0.000;20.07;55.02;2.988;-7.6;233.4;0.0;0.0;50.01;0.00;0;0;0.00000;-0.99127;
1111 1111 0000 0000;1207898;0.000;20.07;55.04;2.988;-7.5;233.4;0.0;0.0;50.01;0.00;0;0;0.00000;-0.98840;
1111 1111 0000 0000;1247689;0.000;19.32;55.04;2.988;-7.5;233.2;0.0;0.0;50.01;0.02;0;0;-0.00003;-0.99188;
1111 1111 0000 0000;1267788;0.000;19.32;55.05;2.988;-7.6;233.3;0.0;0.0;50.02;0.01;0;0;-0.00006;-0.97815;"Walid is great";
1111 1111 0000 0000;1337967;0.000;20.07;55.01;2.988;-7.3;233.3;0.0;0.0;50.00;0.02;0;0;-0.00003;146.74988;
1111 1111 0000 0000;1348019;0.000;20.07;55.07;2.988;-7.5;233.5;0.0;0.0;50.00;0.01;0;0;0.00000;149.89014;
1111 1111 0000 0000;1358478;0.000;19.56;55.00;2.988;-7.5;233.2;0.0;0.0;50.01;0.01;0;0;-0.00006;149.74365;
1111 1111 0000 0000;1368597;0.000;19.57;55.03;2.987;-7.6;233.3;0.0;0.0;50.01;0.01;0;0;-0.00003;149.13025;
1111 1111 0000 0000;1399029;0.000;20.07;55.04;2.987;-7.5;233.3;0.0;0.0;50.00;0.02;0;0;-0.00003;-0.99609;"Walid is great";
1111 1111 0000 0000;1428398;0.000;20.32;55.01;2.987;-7.5;233.3;0.0;0.0;50.01;0.00;0;0;-0.00009;-0.97223;
1111 1111 0000 0000;1438448;0.000;20.08;55.10;2.987;-7.3;233.7;0.0;0.0;50.01;0.01;0;0;-0.00006;-0.98004;
1111 1111 0000 0000;1448499;0.000;20.07;54.94;2.987;-7.5;233.0;0.0;0.0;50.01;0.00;0;0;-0.00003;-0.96649;
1111 1111 0000 0000;1488868;0.000;19.56;54.99;2.987;-7.3;233.2;0.0;0.0;50.00;0.01;0;0;0.00000;146.45691;
1111 1111 0000 0000;1498919;0.000;19.06;55.01;2.988;-7.3;233.1;0.0;0.0;50.00;0.00;0;0;0.00000;-0.99164;
1111 1111 0000 0000;1509330;0.000;18.57;55.02;2.988;-7.2;233.6;0.0;0.0;49.98;0.01;0;0;-0.00003;147.79358;"Walid is great";
1111 1111 0000 0000;1519368;0.000;19.51;54.99;2.988;-7.2;233.1;0.0;0.0;49.99;0.02;0;0;-0.00003;-0.99500;
1111 1111 0000 0000;1529419;0.000;19.06;55.10;2.988;-7.3;233.5;0.0;0.0;50.00;0.02;0;0;-0.00003;-0.99084;
1111 1111 0000 0000;1548619;0.000;20.07;55.00;2.988;-7.3;233.2;0.0;0.0;49.98;0.01;0;0;0.00000;-0.96997;
1111 1111 0000 0000;1559279;0.000;20.31;54.95;2.988;-7.5;233.0;0.0;0.0;50.00;0.01;0;0;-0.00003;-0.99457;
1111 1111 0000 0000;1569328;0.000;20.82;54.95;2.988;-7.5;233.1;0.0;0.0;50.00;0.02;0;0;-0.00003;-0.97723;
