"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;1863841;0.000;30.11;54.10;3.004;10.4;232.1;2.3;0.0;50.00;0.02;0;0;-0.00003;149.51477;
1111 1111 0000 0000;1865850;0.000;30.10;54.12;3.004;10.1;232.3;2.3;0.0;50.00;0.02;0;0;0.00000;149.99084;
1111 1111 0000 0000;1868772;0.000;30.33;54.15;3.004;10.1;232.3;3.5;0.0;50.01;0.01;0;0;-0.00003;-0.97742;
1111 1111 0000 0000;1870092;0.000;30.10;54.13;3.004;10.0;232.3;2.3;0.0;50.02;0.01;0;0;-0.00003;-0.97681;
1111 1111 0000 0000;1872102;0.000;30.47;54.11;3.004;10.1;231.9;3.5;0.0;50.00;0.01;0;0;0.00000;149.96338;
1111 1111 0000 0000;1874801;0.000;30.78;54.11;3.004;10.1;232.1;2.3;0.0;50.01;0.02;0;0;0.00000;149.80774;
1111 1111 0000 0000;1876781;0.000;30.78;54.17;3.004;10.1;232.3;2.3;0.0;50.00;0.01;0;0;-0.00003;-0.98688;
1111 1111 0000 0000;1878791;0.000;30.33;54.11;3.004;10.4;232.3;2.9;0.0;50.01;0.01;0;0;-0.00003;146.30127;
1111 1111 0000 0000;25392880;0.091;32.12;54.35;3.004;13.8;233.3;10.5;0.0;50.00;0.07;0;0;0.00000;-0.97253;
1111 1111 0000 0000;25401041;0.091;32.14;54.34;3.003;13.8;233.2;10.0;0.0;49.99;0.07;0;0;0.00003;-0.99426;
1111 1111 0000 0000;25403051;0.091;32.12;54.38;3.004;13.8;233.4;10.5;0.0;49.99;0.06;0;0;0.00000;-0.96625;
1111 1111 0000 0000;25481671;0.091;32.27;54.36;3.004;13.6;233.3;10.0;0.0;49.96;0.07;0;0;0.00003;-0.97925;"Walid is great";
1111 1111 0000 0000;25483683;0.091;32.37;54.40;3.003;13.5;233.6;9.4;0.0;49.97;0.06;0;0;0.00003;-0.97345;
1111 1111 0000 0000;25490432;0.091;32.13;54.38;3.003;13.5;233.6;9.4;0.0;49.97;0.07;0;0;0.00000;-0.99005;
1111 1111 0000 0000;25492483;0.091;32.58;54.38;3.004;13.6;233.4;10.0;0.0;49.97;0.07;0;0;0.00000;-0.96484;
1111 1111 0000 0000;25494462;0.091;32.12;54.38;3.004;13.9;233.4;10.6;0.0;49.97;0.07;0;0;0.00000;149.82605;
1111 1111 0000 0000;25500693;0.091;32.13;54.37;3.004;13.3;233.3;10.5;0.0;49.98;0.07;0;0;0.00000;-0.99048;
1111 1111 0000 0000;25520313;0.091;31.90;54.40;3.003;13.8;233.3;10.6;0.0;49.98;0.07;0;0;0.00003;149.82605;
1111 1111 0000 0000;598154;0.000;28.24;54.12;3.003;12.4;231.9;0.6;0.0;49.98;0.00;0;0;-0.00003;146.09985;
1111 1111 0000 0000;600135;0.000;28.23;54.11;3.004;12.3;231.9;0.6;0.0;49.98;0.00;0;0;0.00000;149.02954;
