"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;9320060;0.038;34.79;54.58;2.998;22.8;234.4;67.1;0.0;50.02;0.28;0;0;0.00000;-0.97272;
1111 1111 0000 0000;9322052;0.038;34.79;54.57;2.998;23.0;234.6;66.0;0.0;50.02;0.28;0;0;0.00000;-0.97571;
1111 1111 0000 0000;9324302;0.038;34.79;54.60;2.998;22.8;234.5;63.7;0.0;50.02;0.27;0;0;-0.00006;-0.97375;
1111 1111 0000 0000;9326291;0.038;34.56;54.58;2.998;23.0;234.5;63.0;0.0;50.02;0.27;0;0;0.00003;-0.97375;
1111 1111 0000 0000;9351195;0.038;34.68;54.57;2.998;23.1;234.6;60.2;0.0;50.00;0.24;0;0;0.00003;-0.96722;
1111 1111 0000 0000;9353192;0.038;34.68;54.60;2.998;22.8;234.6;60.3;0.0;49.99;0.24;0;0;0.00000;-0.97107;
1111 1111 0000 0000;9356078;0.038;34.67;54.54;2.998;23.0;234.5;60.5;0.0;49.98;0.24;0;0;-0.00003;-0.97113;
1111 1111 0000 0000;9357413;0.038;34.67;54.55;2.998;23.0;234.5;60.5;0.0;49.98;0.24;0;0;0.00000;-0.97278;
1111 1111 0000 0000;9362242;0.038;34.68;54.59;2.998;23.0;234.5;60.4;0.0;49.98;0.24;0;0;-0.00003;-0.97278;
1111 1111 0000 0000;9364230;0.038;34.67;54.56;2.998;23.0;234.3;60.4;0.0;49.98;0.24;0;0;0.00003;-0.97131;
1111 1111 0000 0000;9366224;0.038;34.45;54.59;2.997;23.0;234.6;60.5;0.0;49.98;0.24;0;0;0.00000;-0.97058;
1111 1111 0000 0000;9371775;0.039;34.68;54.58;2.998;23.0;234.5;60.5;0.0;49.99;0.24;0;0;0.00003;-0.97235;
1111 1111 0000 0000;9373770;0.039;34.68;54.57;2.998;22.4;234.5;60.4;0.0;49.99;0.24;0;0;-0.00006;-0.97113;
1111 1111 0000 0000;9375763;0.039;34.44;54.55;2.998;23.0;234.3;60.4;0.0;49.98;0.24;0;0;0.00000;-0.97089;
1111 1111 0000 0000;9377763;0.039;34.68;54.55;2.998;23.1;234.5;60.5;0.0;49.99;0.24;0;0;0.00000;-0.97253;
1111 1111 0000 0000;9382014;0.039;34.68;54.52;2.998;23.0;234.4;60.3;0.0;50.00;0.24;0;0;-0.00003;-0.97168;
1111 1111 0000 0000;9384002;0.039;34.44;54.54;2.998;23.0;234.2;60.3;0.0;49.98;0.24;0;0;-0.00003;-0.97156;
1111 1111 0000 0000;9385993;0.039;34.68;54.49;2.998;23.0;234.3;60.2;0.0;49.99;0.24;0;0;-0.00003;-0.96747;"Walid is great";
1111 1111 0000 0000;9388243;0.039;34.67;54.48;2.998;23.0;234.0;60.1;0.0;49.99;0.24;0;0;0.00000;-0.97162;
