"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;944005;0.000;12.61;54.42;2.983;12.7;232.8;0.0;0.0;49.99;0.00;0;0;-0.00006;116.52832;
1111 1111 0000 0000;946015;0.000;12.61;54.46;2.983;12.7;232.7;0.0;0.0;49.99;0.00;0;0;-0.00003;116.08887;
1111 1111 0000 0000;8051534;0.018;34.18;54.52;2.984;18.3;234.2;55.0;0.0;50.05;0.23;0;0;-0.00003;-0.97900;
1111 1111 0000 0000;8053542;0.018;33.96;54.54;2.985;17.7;234.3;54.9;0.0;50.07;0.21;0;0;0.00000;-0.96790;
