"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;3119863;0.001;31.74;54.46;2.995;10.7;234.0;5.7;0.0;49.99;0.02;0;0;0.00000;-0.96332;
1111 1111 0000 0000;15872205;0.211;34.80;54.52;2.997;23.1;233.6;77.7;0.0;49.99;0.32;0;0;0.00003;-0.97125;
