"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;28140946;0.138;32.62;54.46;2.985;10.5;234.1;6.9;0.0;49.98;0.04;0;0;-0.00003;-0.98273;
1111 1111 0000 0000;28142943;0.138;32.11;54.48;2.984;10.4;234.3;7.2;0.0;49.99;0.03;0;0;0.00000;-0.97424;
1111 1111 0000 0000;28148945;0.138;32.12;54.49;2.983;10.4;234.3;7.2;0.0;49.99;0.04;0;0;-0.00003;-0.98499;"Walid is great";
1111 1111 0000 0000;28150943;0.138;32.02;54.52;2.983;10.5;234.3;6.9;0.0;49.98;0.03;0;0;-0.00006;-0.99268;
1111 1111 0000 0000;28152944;0.138;32.12;54.48;2.983;10.5;234.3;7.2;0.0;49.98;0.03;0;0;0.00000;-0.98346;
1111 1111 0000 0000;28158075;0.138;32.41;54.48;2.983;10.4;234.4;7.2;0.0;49.99;0.04;0;0;0.00000;149.17603;
1111 1111 0000 0000;28159155;0.138;32.03;54.52;2.983;10.5;234.4;7.2;0.0;50.00;0.04;0;0;0.00000;-0.98688;
1111 1111 0000 0000;28161155;0.138;32.12;54.50;2.983;10.4;234.5;6.9;0.0;49.99;0.03;0;0;0.00000;-0.97571;
1111 1111 0000 0000;28163606;0.138;31.81;54.49;2.983;10.4;234.4;6.9;0.0;49.97;0.03;0;0;0.00000;-0.99023;
1111 1111 0000 0000;28169943;0.138;31.81;54.47;2.983;10.5;234.4;7.2;0.0;49.98;0.03;0;0;0.00000;-0.98926;
1111 1111 0000 0000;28171944;0.138;32.31;54.46;2.984;10.4;234.1;7.2;0.0;49.98;0.04;0;0;0.00000;-0.97778;
1111 1111 0000 0000;28174495;0.138;32.41;54.48;2.983;10.4;234.4;6.9;0.0;49.98;0.04;0;0;0.00000;-0.99377;
1111 1111 0000 0000;28178234;0.138;32.41;54.40;2.983;10.5;234.1;7.2;0.0;49.98;0.03;0;0;0.00000;-0.97302;
1111 1111 0000 0000;28180145;0.138;31.80;54.42;2.984;10.5;234.1;6.9;0.0;49.97;0.03;0;0;0.00000;148.75488;
1111 1111 0000 0000;28182124;0.138;31.80;54.43;2.984;10.4;234.3;7.2;0.0;49.97;0.04;0;0;0.00003;-0.97925;
