"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
0011 1000 0010 0000;2035;0.000;17.67;54.20;2.984;-0.9;300.5;0.0;0.0;50.03;0.00;0;0;-0.00003;91.52527;
0011 1100 0010 0000;4034;0.000;17.68;54.29;2.984;-0.9;300.6;0.0;0.0;50.03;0.00;0;0;0.00000;88.10120;
0011 1100 0010 0000;8484;0.000;17.68;54.31;2.984;-0.7;300.9;0.0;0.0;50.04;0.00;0;0;0.00000;80.70374;
0011 1100 0010 0000;10465;0.000;17.67;54.31;2.984;-0.7;300.5;0.0;0.0;50.03;0.00;0;0;0.00003;77.48108;
0011 1100 0010 0000;12674;0.000;17.68;54.27;2.984;-0.7;300.6;0.0;0.0;50.03;0.00;0;0;-0.00003;74.05701;
0011 1100 0010 0000;14746;0.000;17.67;54.31;2.984;-0.6;300.6;0.0;0.0;50.02;0.00;0;0;0.00000;70.69702;
0011 1100 0010 0000;18729;0.000;17.67;54.30;2.984;-0.7;300.6;0.0;0.0;50.02;0.00;0;0;-0.00003;64.49890;
0011 1100 0010 0000;21005;0.000;17.67;54.29;2.984;-0.7;300.5;0.0;0.0;50.01;0.00;0;0;0.00000;60.95581;
0011 1100 0010 0000;22984;0.000;17.66;54.30;2.984;-0.6;300.6;0.0;0.0;50.03;0.01;0;0;-0.00003;57.96204;
0011 1100 0010 0000;24988;0.000;17.66;54.27;2.984;-0.7;300.4;0.0;0.0;50.03;0.00;0;0;-0.00003;54.92249;
0011 1100 0010 0000;27665;0.000;17.66;54.28;2.984;-0.6;300.4;0.0;0.0;50.01;0.00;0;0;0.00000;50.38147;
0011 1100 0010 0000;29374;0.000;17.66;54.28;2.984;-0.6;300.5;0.0;0.0;50.02;0.00;0;0;-0.00003;47.79968;
