"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;28369224;0.180;32.54;55.18;3.006;4.0;233.4;0.0;0.0;50.05;0.05;0;0;0.00000;-0.97821;
1111 1111 0000 0000;28379275;0.180;33.02;55.11;3.006;4.0;233.0;0.0;0.0;50.05;0.04;0;0;0.00003;148.35205;
1111 1111 0000 0000;28388171;0.180;33.18;55.11;3.007;4.0;232.8;0.0;0.0;50.05;0.04;0;0;0.00000;-0.99042;
1111 1111 0000 0000;28390001;0.180;33.28;55.10;3.006;4.0;233.0;0.0;0.0;50.04;0.05;0;0;0.00000;149.90845;
1111 1111 0000 0000;28398370;0.180;32.78;55.11;3.006;4.0;233.2;0.0;0.0;50.05;0.04;0;0;0.00003;148.77319;
1111 1111 0000 0000;28401102;0.180;32.53;55.08;3.007;4.1;232.9;29.9;0.0;50.06;0.04;0;0;0.00000;-0.98077;
1111 1111 0000 0000;28408837;0.180;32.18;55.13;3.006;4.0;233.0;0.0;0.0;50.05;0.05;0;0;0.00000;-0.98572;
1111 1111 0000 0000;28410978;0.180;32.26;55.12;3.007;4.0;233.0;0.0;0.0;50.04;0.04;0;0;0.00003;147.75696;
1111 1111 0000 0000;28419081;0.180;32.27;55.14;3.006;4.0;233.1;0.0;0.0;50.05;0.04;0;0;0.00003;149.65210;
1111 1111 0000 0000;28421097;0.180;31.76;55.13;3.006;4.0;233.0;30.0;0.0;50.06;0.04;0;0;0.00000;-0.96368;
