"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;954299;0.000;12.85;54.29;2.959;12.7;232.4;0.0;0.0;49.99;0.00;0;0;-0.00009;126.78223;
1111 1111 0000 0000;956279;0.000;12.85;54.25;2.959;12.7;232.1;0.0;0.0;49.99;0.00;0;0;-0.00006;126.33362;
1111 1111 0000 0000;958289;0.000;12.84;54.28;2.959;12.6;232.4;0.0;0.0;49.99;0.00;0;0;-0.00009;125.88501;
1111 1111 0000 0000;960757;0.000;12.82;54.23;2.959;12.7;232.0;0.0;0.0;50.00;0.00;0;0;-0.00006;125.28992;
1111 1111 0000 0000;962757;0.000;12.81;54.25;2.959;12.7;232.1;0.0;0.0;49.99;0.00;0;0;-0.00009;124.78638;
1111 1111 0000 0000;964760;0.000;12.79;54.41;2.959;12.7;232.8;0.0;0.0;50.01;0.00;0;0;-0.00006;124.25537;
1111 1111 0000 0000;967627;0.000;12.77;54.46;2.959;12.7;233.1;0.0;0.0;50.01;0.00;0;0;-0.00009;123.50464;
1111 1111 0000 0000;969646;0.000;12.73;54.48;2.959;12.7;233.2;0.0;0.0;50.01;0.00;0;0;-0.00009;122.91870;
1111 1111 0000 0000;972189;0.000;12.67;54.47;2.959;12.7;233.2;0.0;0.0;50.01;0.00;0;0;-0.00006;122.15881;"Walid is great";
1111 1111 0000 0000;974150;0.000;12.03;54.50;2.959;12.7;233.3;0.0;0.0;50.01;0.00;0;0;-0.00009;121.08765;
1111 1111 0000 0000;976239;0.000;12.02;54.54;2.959;12.7;233.4;0.0;0.0;50.01;0.00;0;0;-0.00003;119.83337;
1111 1111 0000 0000;978221;0.000;12.01;54.52;2.959;12.6;233.4;0.0;0.0;50.02;0.00;0;0;-0.00009;118.67981;
1111 1111 0000 0000;980231;0.000;12.00;54.52;2.959;12.7;233.3;0.0;0.0;50.03;0.00;0;0;-0.00003;117.49878;
1111 1111 0000 0000;982240;0.000;12.00;54.56;2.959;12.7;233.5;0.0;0.0;50.01;0.00;0;0;-0.00009;116.35437;
1111 1111 0000 0000;984251;0.000;11.99;54.57;2.959;12.7;233.5;0.0;0.0;50.02;0.00;0;0;-0.00006;115.25574;
1111 1111 0000 0000;986261;0.000;11.98;54.56;2.959;12.7;233.5;0.0;0.0;50.01;0.00;0;0;-0.00003;114.12964;
1111 1111 0000 0000;988270;0.000;11.97;54.55;2.959;12.7;233.5;0.0;0.0;50.01;0.00;0;0;-0.00006;113.05847;
1111 1111 0000 0000;990280;0.000;11.95;54.54;2.959;12.9;233.4;0.0;0.0;50.01;0.00;0;0;-0.00006;111.97815;
1111 1111 0000 0000;992290;0.000;11.94;54.54;2.959;12.7;233.5;0.0;0.0;50.00;0.00;0;0;-0.00009;110.87036;
1111 1111 0000 0000;994310;0.000;11.93;54.58;2.958;12.9;233.5;0.0;0.0;50.00;0.00;0;0;-0.00006;109.81750;
1111 1111 0000 0000;996310;0.000;11.91;54.50;2.959;12.9;233.3;0.0;0.0;49.99;0.00;0;0;-0.00009;108.72803;"Walid is great";
1111 1111 0000 0000;998320;0.000;11.89;54.53;2.959;12.9;233.4;0.0;0.0;49.99;0.00;0;0;-0.00009;107.62939;
1111 1111 0000 0000;1000765;0.000;11.87;54.50;2.959;12.9;233.3;0.0;0.0;49.98;0.00;0;0;-0.00006;106.33850;
