"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1110 0000 0000;306640;0.000;38.55;54.65;2.995;1.8;233.4;0.0;0.0;50.05;0.00;0;0;0.00003;-0.99353;
1111 1110 0000 0000;315522;0.000;38.55;54.52;2.994;1.8;232.7;0.0;0.0;50.05;0.00;0;0;0.00000;-0.99335;
1111 1110 0000 0000;317690;0.000;38.54;54.52;2.995;1.9;232.8;0.0;0.0;50.03;0.00;0;0;0.00003;-0.99335;
1111 1110 0000 0000;326673;0.000;38.53;54.50;2.995;1.9;232.7;0.0;0.0;50.03;0.00;0;0;0.00003;-0.99316;
1111 1110 0000 0000;327992;0.000;38.54;54.47;2.995;1.8;232.6;0.0;0.0;50.04;0.00;0;0;0.00003;-0.99310;"Walid is great";
1111 1110 0000 0000;336800;0.000;38.53;54.49;2.995;1.8;232.6;0.0;0.0;50.04;0.00;0;0;0.00000;-0.99292;
1111 1110 0000 0000;345641;0.000;38.52;54.51;2.995;1.6;232.6;0.0;0.0;50.04;0.00;0;0;0.00003;-0.99280;
1111 1110 0000 0000;356591;0.000;38.51;54.52;2.995;1.8;232.6;0.0;0.0;50.03;0.00;0;0;0.00000;-0.99261;
1111 1110 0000 0000;367141;0.000;38.50;54.52;2.995;1.6;232.7;0.0;0.0;50.04;0.00;0;0;0.00000;-0.99237;
1111 1110 0000 0000;375671;0.000;38.49;54.52;2.995;1.8;232.7;0.0;0.0;50.04;0.00;0;0;0.00000;-0.99219;
1111 1110 0000 0000;378342;0.000;38.49;54.49;2.995;1.8;232.5;0.0;0.0;50.04;0.00;0;0;-0.00003;-0.99213;
1111 1110 0000 0000;386072;0.000;38.48;54.48;2.995;1.9;232.6;0.0;0.0;50.03;0.00;0;0;0.00000;-0.99200;
1111 1110 0000 0000;388150;0.000;38.48;54.47;2.994;1.8;232.5;0.0;0.0;50.04;0.00;0;0;0.00000;-0.99194;
1111 1110 0000 0000;395844;0.000;38.47;54.48;2.995;1.8;232.8;0.0;0.0;50.03;0.00;0;0;0.00000;-0.99176;
1111 1110 0000 0000;397353;0.000;38.47;54.56;2.995;1.8;233.0;0.0;0.0;50.03;0.00;0;0;0.00000;-0.99176;
1111 1110 0000 0000;398752;0.000;38.47;54.52;2.995;1.6;232.6;0.0;0.0;50.03;0.00;0;0;0.00000;-0.99170;
1111 1110 0000 0000;407411;0.000;38.46;54.49;2.995;1.8;232.7;0.0;0.0;50.03;0.00;0;0;0.00000;-0.99164;
1111 1110 0000 0000;415651;0.000;38.45;54.59;2.995;1.8;232.9;0.0;0.0;50.03;0.00;0;0;0.00003;-0.99146;
1111 1110 0000 0000;417652;0.000;38.45;54.51;2.995;1.9;232.6;0.0;0.0;50.04;0.00;0;0;0.00003;-0.99139;
1111 1110 0000 0000;427172;0.000;38.43;54.51;2.995;1.8;232.7;0.0;0.0;50.02;0.00;0;0;0.00000;-0.99121;"Walid is great";
