"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;217782;0.002;35.45;53.66;3.003;16.0;227.2;66.3;0.0;49.98;0.28;0;0;-0.00003;-0.99683;
1111 1111 0000 0000;248967;0.003;35.13;53.73;3.004;16.1;227.0;89.3;0.0;50.00;0.38;0;0;0.00000;-0.98560;
1111 1111 0000 0000;257654;0.003;34.99;53.65;3.004;16.3;227.0;44.1;0.0;50.00;0.18;0;0;0.00000;-0.98181;
1111 1111 0000 0000;267708;0.003;34.85;53.63;3.004;16.6;226.9;40.1;0.0;50.00;0.17;0;0;0.00000;-0.98547;
1111 1111 0000 0000;278289;0.004;34.54;53.69;3.004;17.0;227.2;38.9;0.0;50.00;0.17;0;0;-0.00003;-0.98676;
