"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;1811111;0.000;30.09;53.91;2.988;11.0;231.9;1.2;0.0;50.03;0.00;0;0;0.00000;-0.99048;
1111 1111 0000 0000;1813573;0.000;30.05;53.85;2.993;11.0;231.4;1.2;0.0;50.01;0.00;0;0;-0.00003;-0.98010;
1111 1111 0000 0000;1815503;0.000;30.07;53.82;2.991;11.0;231.6;1.2;0.0;50.02;0.01;0;0;-0.00003;-0.99017;
1111 1111 0000 0000;1817512;0.000;30.07;53.84;2.991;11.0;231.7;1.2;0.0;50.02;0.01;0;0;-0.00003;-0.98828;
1111 1111 0000 0000;1819552;0.000;30.06;53.82;2.992;10.7;231.4;1.2;0.0;50.00;0.00;0;0;-0.00003;-0.98102;
1111 1111 0000 0000;1821543;0.000;30.08;53.92;2.990;10.8;231.9;1.2;0.0;50.00;0.00;0;0;0.00000;-0.97717;
1111 1111 0000 0000;1824442;0.000;30.32;53.78;2.990;11.0;231.7;1.2;0.0;50.01;0.01;0;0;-0.00003;147.04285;
1111 1111 0000 0000;1825791;0.000;30.09;53.87;2.990;10.8;231.9;2.3;0.0;50.01;0.00;0;0;-0.00003;-0.98822;
1111 1111 0000 0000;1827813;0.000;30.08;53.85;2.993;10.8;231.8;1.2;0.0;50.02;0.01;0;0;0.00000;-0.97369;"Walid is great";
1111 1111 0000 0000;1830743;0.000;29.88;53.89;2.988;11.0;231.6;2.3;0.0;50.01;0.01;0;0;0.00000;-0.99536;
1111 1111 0000 0000;872139;0.000;20.54;54.06;2.990;13.2;231.8;0.0;0.0;49.98;0.00;0;0;0.00000;144.97375;"Walid is great";
1111 1111 0000 0000;874098;0.000;20.61;53.96;2.990;13.0;231.7;0.0;0.0;49.98;0.00;0;0;-0.00003;144.12231;
