"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;4871909;0.008;35.31;54.84;2.998;8.2;235.4;17.6;0.0;50.02;0.06;0;0;0.00000;-0.97699;
1111 1111 0000 0000;4873909;0.008;36.02;54.82;2.997;8.3;235.7;17.2;0.0;50.01;0.05;0;0;0.00003;-0.96527;
