"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;9689859;0.062;34.75;54.83;3.002;28.7;231.7;62.0;0.0;50.02;0.27;0;0;0.00000;-0.95923;
1111 1111 0000 0000;9710579;0.062;34.64;54.88;3.003;28.6;231.7;78.9;0.0;50.01;0.32;0;0;0.00000;-0.94537;
