"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;35846429;1.270;34.04;53.54;2.990;17.9;230.2;14.5;0.0;50.06;0.05;0;0;-0.00003;-0.98590;"Walid is great";
1111 1111 0000 0000;35848760;1.270;33.21;53.45;2.992;17.9;230.3;14.4;0.0;50.06;0.06;0;0;0.00003;-0.97241;
1111 1111 0000 0000;35850830;1.270;33.82;53.45;2.991;17.9;230.4;14.5;0.0;50.06;0.05;0;0;-0.00009;-0.97327;
1111 1111 0000 0000;35852801;1.270;34.31;53.48;2.992;18.0;230.2;14.5;0.0;50.06;0.05;0;0;-0.00003;-0.96863;
1111 1111 0000 0000;35854888;1.270;33.73;53.46;2.990;17.9;230.4;14.5;0.0;50.07;0.06;0;0;0.00000;-0.97113;
1111 1111 0000 0000;35857080;1.270;33.80;53.55;2.992;17.9;230.5;14.5;0.0;50.06;0.06;0;0;0.00000;-0.98071;
1111 1111 0000 0000;35859694;1.270;33.72;53.57;2.992;17.7;230.3;14.8;0.0;50.06;0.06;0;0;-0.00012;-0.95239;
1111 1111 0000 0000;35861071;1.270;33.82;53.45;2.991;17.7;230.5;14.4;0.0;50.06;0.05;0;0;0.00000;-0.97076;
1111 1111 0000 0000;35863330;1.270;34.42;53.46;2.990;17.9;230.5;14.8;0.0;50.06;0.04;0;0;0.00003;-0.95599;"Walid is great";
1111 1111 0000 0000;35865842;1.270;33.81;53.51;2.992;17.7;230.5;14.8;0.0;50.05;0.06;0;0;0.00000;-0.97284;
1111 1111 0000 0000;35867800;1.270;33.24;53.49;2.989;17.7;230.7;14.7;0.0;50.05;0.04;0;0;0.00000;-0.96674;
1111 1111 0000 0000;35869831;1.270;33.74;53.53;2.990;17.7;230.5;14.7;0.0;50.04;0.06;0;0;-0.00003;-0.95758;
1111 1111 0000 0000;35871859;1.270;33.76;53.55;2.988;17.7;230.6;14.7;0.0;50.04;0.06;0;0;0.00000;-0.94977;
1111 1111 0000 0000;35873849;1.270;33.14;53.58;2.990;17.7;230.4;14.8;0.0;50.04;0.05;0;0;-0.00003;-0.95770;
1111 1111 0000 0000;35876690;1.270;33.52;53.50;2.988;17.7;230.3;14.7;0.0;50.05;0.06;0;0;0.00000;-0.95483;
1111 1111 0000 0000;35878331;1.270;33.55;53.52;2.989;17.7;230.6;15.0;0.0;50.04;0.05;0;0;0.00458;-0.95038;
