"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 0000 0100 0000;935;0.000;9.92;50.72;1.274;21.5;232.2;0.0;0.0;50.03;0.25;0;0;-0.00003;0.00000;
1111 0000 0100 0000;430;0.000;10.69;39.50;1.274;21.5;232.4;0.0;0.0;50.01;0.20;0;0;-0.00006;0.00000;
1101 0000 0100 0000;227;0.000;10.93;26.79;1.274;21.5;232.2;0.0;0.0;50.21;0.30;0;0;-0.00006;0.00000;
1111 0000 0100 0000;583;0.000;10.51;45.20;1.274;21.5;232.2;0.0;0.0;50.03;0.25;0;0;-0.00009;0.00000;
1111 0000 0100 0000;962;0.000;9.24;51.04;1.274;21.4;232.2;0.0;0.0;50.02;0.30;0;0;-0.00009;0.00000;
1111 0000 0100 0000;417;0.000;10.65;38.90;1.274;21.5;232.2;0.0;0.0;50.02;0.23;0;0;-0.00006;0.00000;
1111 0000 0100 0000;344;0.000;10.71;35.51;1.274;21.5;232.2;0.0;0.0;50.04;0.31;0;0;-0.00006;0.00000;
1111 0000 0100 0000;841;0.000;9.67;49.80;1.274;21.4;231.8;0.0;0.0;50.02;0.19;0;0;-0.00009;0.00000;
1111 0000 0100 0000;260;0.000;10.78;30.81;1.274;21.7;232.0;0.0;0.0;50.12;0.27;0;0;0.00000;0.00000;
1111 0000 0100 0000;272;0.000;10.81;30.39;1.274;21.5;232.0;0.0;0.0;49.98;0.27;0;0;-0.00006;0.00000;
1111 0000 0100 0000;420;0.000;10.58;39.91;1.274;21.5;232.2;0.0;0.0;50.00;0.24;0;0;-0.00009;0.00000;"Walid is great";
1111 0000 0100 0000;409;0.000;10.59;38.99;1.274;21.5;232.0;0.0;0.0;50.05;0.26;0;0;-0.00006;0.00000;
1111 0000 0100 0000;933;0.000;9.43;50.68;1.274;21.4;232.1;0.0;0.0;50.01;0.34;0;0;-0.00009;0.00000;
1111 0000 0100 0000;405;0.000;10.61;38.66;1.274;21.5;232.0;0.0;0.0;50.01;0.17;0;0;-0.00006;0.00000;
1111 0000 0100 0000;397;0.000;10.59;37.92;1.274;21.5;232.1;0.0;0.0;50.00;0.31;0;0;-0.00006;0.00000;
1111 0000 0100 0000;947;0.000;9.36;50.80;1.274;21.5;232.0;0.0;0.0;50.01;0.25;0;0;-0.00009;0.00000;
1111 0000 0100 0000;487;0.000;10.52;42.22;1.274;21.7;232.0;0.0;0.0;50.02;0.29;0;0;-0.00003;0.00000;
