"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1111 0000 0000;1026993;0.018;40.53;55.20;2.981;11.7;235.4;63.8;0.0;49.99;0.25;0;0;-0.00003;148.49854;
1111 1111 0000 0000;1030832;0.018;40.38;55.23;2.981;11.4;235.5;61.0;0.0;49.98;0.27;0;0;-0.00006;-0.91638;
1111 1111 0000 0000;1032742;0.018;40.39;55.21;2.981;11.9;235.3;71.0;0.0;49.98;0.29;0;0;-0.00003;147.05200;
1111 1111 0000 0000;1033872;0.018;40.22;55.22;2.981;11.4;235.4;65.7;0.0;50.00;0.30;0;0;-0.00006;-0.92041;
1111 1111 0000 0000;1044064;0.018;39.78;55.20;2.980;11.6;235.2;79.9;0.0;49.99;0.35;0;0;-0.00006;-0.94952;
1111 1111 0000 0000;1045282;0.018;39.92;55.19;2.982;11.4;235.2;80.2;0.0;49.99;0.35;0;0;-0.00006;-0.96375;
1111 1111 0000 0000;1048343;0.018;39.77;55.23;2.982;11.6;235.4;84.3;0.0;49.99;0.37;0;0;0.00000;-0.97101;
1111 1111 0000 0000;1059264;0.018;38.99;55.26;2.982;11.6;235.2;96.3;0.0;49.99;0.41;0;0;0.00000;-0.94470;
1111 1111 0000 0000;1061051;0.018;39.17;55.25;2.981;11.6;235.3;97.9;0.0;50.00;0.42;0;0;-0.00012;-0.96082;
1111 1111 0000 0000;1062424;0.019;38.99;55.26;2.982;11.6;235.4;100.5;0.0;50.00;0.42;0;0;0.00003;-0.95972;
1111 1111 0000 0000;1065284;0.019;38.83;55.30;2.983;11.6;235.4;104.7;0.0;50.00;0.44;0;0;0.00000;-0.96124;
1111 1111 0000 0000;1067444;0.019;38.85;55.36;2.982;11.7;235.7;105.4;0.0;49.99;0.44;0;0;-0.00003;-0.96246;
1111 1111 0000 0000;1069454;0.019;38.83;55.29;2.983;12.0;235.5;103.3;0.0;49.99;0.45;0;0;-0.00003;-0.95459;
1111 1111 0000 0000;1239054;0.023;38.04;55.43;2.982;12.4;235.8;104.0;0.0;50.00;0.45;0;0;-0.00006;-0.96313;"Walid is great";
1111 1111 0000 0000;1241883;0.023;37.88;55.37;2.982;12.4;235.7;106.9;0.0;50.01;0.45;0;0;0.00000;-0.96405;
1111 1111 0000 0000;1243046;0.023;37.88;55.37;2.982;12.6;235.9;102.4;0.0;50.01;0.44;0;0;0.00000;-0.94159;"Walid is great";
1111 1111 0000 0000;1245948;0.023;37.88;55.42;2.982;12.4;235.7;107.8;0.0;50.01;0.46;0;0;-0.00006;-0.96545;
