"Status";"OnTime";"E";"Vdc";"Vbias";"Vref";"Tasic";"Vrms";"P";"Q";"Fgrid";"Ilin";"Trecl";"Tramp";"Spare1";"Spare2"
1111 1110 0000 0000;171649;0.000;31.77;54.99;2.975;7.8;234.0;1.2;0.0;50.01;0.03;0;0;0.00003;-0.99786;
1111 1110 0000 0000;173648;0.000;32.21;55.03;2.975;7.6;234.1;2.3;0.0;50.02;0.02;0;0;0.00003;-0.96887;"Walid is great";
1111 1110 0000 0000;176210;0.000;32.45;55.02;2.976;7.9;234.2;2.3;0.0;50.00;0.03;0;0;0.00000;146.03577;
1111 1110 0000 0000;178172;0.000;31.99;55.00;2.976;7.9;234.0;1.2;0.0;50.01;0.03;0;0;0.00000;149.78027;
1111 1110 0000 0000;180184;0.000;32.46;55.01;2.975;7.5;234.2;2.3;0.0;50.01;0.03;0;0;0.00000;-0.97284;
1111 1110 0000 0000;182208;0.000;31.99;55.05;2.976;8.1;234.4;2.3;0.0;50.01;0.03;0;0;0.00003;147.82104;"Walid is great";
1111 1110 0000 0000;184223;0.000;32.45;55.06;2.976;7.8;234.2;1.2;0.0;50.02;0.03;0;0;-0.00003;-0.98364;
1111 1110 0000 0000;186232;0.000;32.45;55.04;2.976;7.9;234.3;2.3;0.0;50.01;0.02;0;0;0.00003;-0.96136;
1111 1110 0000 0000;188243;0.000;31.99;55.05;2.975;7.9;234.3;2.3;0.0;50.00;0.04;0;0;0.00000;147.81189;
1111 1110 0000 0000;190252;0.000;31.99;55.09;2.976;7.6;234.4;1.2;0.0;50.02;0.03;0;0;-0.00003;-0.98810;
1111 1110 0000 0000;192262;0.000;31.99;55.09;2.975;7.3;234.3;1.2;0.0;50.02;0.02;0;0;0.00000;-0.97064;
1111 1110 0000 0000;194306;0.000;31.53;55.05;2.976;8.1;234.3;2.3;0.0;50.02;0.03;0;0;0.00003;148.13232;
1111 1110 0000 0000;196313;0.000;31.53;55.11;2.976;7.6;234.4;2.3;0.0;50.02;0.03;0;0;0.00000;149.99084;
1111 1110 0000 0000;198322;0.000;31.77;55.09;2.976;7.9;234.4;2.3;0.0;50.03;0.03;0;0;0.00003;-0.99231;
1111 1110 0000 0000;200334;0.000;31.77;55.08;2.976;7.9;234.5;1.7;0.0;50.01;0.02;0;0;0.00000;-0.98389;"Walid is great";
1111 1110 0000 0000;202343;0.000;31.77;55.12;2.975;8.2;234.5;1.2;0.0;50.04;0.03;0;0;0.00003;-0.97784;
